ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	LANGUAGE_FAMILY	BORROWED	BORROWED_SCORE	BORROWED_BASE	AGE	AGE_SCORE	DONOR_LANGUAGE	DONOR_VALUE
5510	ZinacantanTzotzil	ACORN	chochob	chochob	tʃʰ o tʃʰ o b		Mayan	False	0.0		Proto-Tzotzil	1.0		
6929	Qeqchi	ACORN	ru ji	ru_ji	r u + x i		Mayan	False	0.0		Q'eqchi'	1.0		
8849	Otomi	ACORN	ro	ro	r o		Otomanguean	False	0.0		Urbano (1605)	0.9		
1639	Portuguese	ACQUIT	absolver	absolver	a b s ɔu v e ʁ		Indo-European							
3404	Spanish	ACQUIT	absolver	absolver	a β s o l β ɛ ɾ		Indo-European							
3405	Spanish	ACQUIT	exculpar	exculpar	ɛ k s k u l p a ɾ		Indo-European							
4848	Yaqui	ACQUIT	kulpata a u’ura	kulpata_a_u’ura	k u l p a t a + a + u ʔ u r a		Uto-Aztecan	False	0.0	kulpa = Spanish culpa ‘the guilt’.	Modern	0.7	Spanish	culpar
7879	Qeqchi	ACQUIT	kuyuk maak	kuyuk_maak	k u j u k + m aː kʰ		Mayan	False	0.0		proto-K’iche’an	1.0		
10102	Otomi	ACQUIT	puni	puni	p u n i		Otomanguean	False	0.0		Urbano (1605)	0.9		
11291	ImbaburaQuechua	ACQUIT	kishpichina	kishpichina	k i ʃ p i tʃ i n a		Quechuan	False	0.0		Contemporary	0.7		
12517	Wichi	ACQUIT	tip’alhtsen	tip’alhtsen	t i p ʔ a lˠ ts e n		Matacoan	False	0.0		1940-present	0.7		
1626	Portuguese	ADJUDICATE	julgar	julgar	ʒ uu ɡ a ʁ		Indo-European							
3391	Spanish	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ		Indo-European							
4835	Yaqui	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a		Uto-Aztecan	True	1.0		Modern	0.7	Spanish	juzgar
7865	Qeqchi	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n		Mayan	False	0.0		Q'eqchi'	1.0		
10085	Otomi	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i		Otomanguean	False	0.0			0.5		
1489	Portuguese	ADMIT	admitir	admitir	a dʒ i m i tʃ i ʁ		Indo-European							
1490	Portuguese	ADMIT	confessar	confessar	k õ f e s a ʁ		Indo-European							
3252	Spanish	ADMIT	admitir	admitir	a ð m i t i ɾ		Indo-European							
3253	Spanish	ADMIT	confesar	confesar	k o m f e s a ɾ		Indo-European							
3254	Spanish	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ		Indo-European							
4739	Yaqui	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a		Uto-Aztecan	True	1.0		Colonial	0.9	Spanish	confesar
6044	ZinacantanTzotzil	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l		Mayan	False	0.0		Proto-Tzeltalan	1.0		
7749	Qeqchi	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l		Mayan	False	0.0		Q'eqchi'	1.0		
9887	Otomi	ADMIT	hä (2)	hä	h ɐ		Otomanguean	False	0.0		Urbano (1605)	0.9		
9888	Otomi	ADMIT	hegi	hegi	h e g i		Otomanguean	False	0.0		modern	0.6		
9889	Otomi	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o		Otomanguean	True	1.0		modern	0.6	Spanish	caso
11209	ImbaburaQuechua	ADMIT	ari nina	ari_nina	a ɾ i + n i n a		Quechuan	False	0.0		Pre-Inca	1.0		
12427	Wichi	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥		Matacoan	False	0.0		1940-present	0.7		
734	Portuguese	ADOBE	adobe	adobe	a d ɔ b i		Indo-European							
2425	Spanish	ADOBE	adobe	adobe	a ð o β e		Indo-European							
4088	Yaqui	ADOBE	saami	saami	s aː m i		Uto-Aztecan	False	0.0		Proto-Uto-Aztecan	1.0		
5480	ZinacantanTzotzil	ADOBE	shamit	shamit	ʃ a m i tʰ		Mayan	True	1.0		Proto-Historic	1.0	Nahuatl	ximi-tl
6878	Qeqchi	ADOBE	xan	xan	ʃ a n		Mayan	False	0.0		proto-Mayan (not Huastec)	1.0		
6879	Qeqchi	ADOBE	q'ut	q'ut	qʼ u tʰ		Mayan	False	0.0		Q'eqchi'	1.0		
8781	Otomi	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i		Otomanguean	False	0.0		modern	0.6		
10671	ImbaburaQuechua	ADOBE	adubi	adubi	a d u b i		Quechuan	True	1.0		Late Colonial	0.9	Spanish	adobe
11865	Wichi	ADOBE	alulis	alulis	a l u l i s		Matacoan	True	1.0		1940-present	0.7	Spanish	adobe
13136	Mapudungun	ADOBE	fazofe	fazofe	f a z o f e		Araucanian	True	1.0		Post-1883	0.8	Spanish	adobe
1647	Portuguese	ADULTERY	adultério	adultério	a d uu t ɛ ɾ j u		Indo-European							
3413	Spanish	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o		Indo-European							
4856	Yaqui	ADULTERY	baita’a	baita’a	b a i t a ʔ a		Uto-Aztecan	False	0.0		Modern	0.7		
7887	Qeqchi	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ		Mayan	False	0.0		Q'eqchi'	1.0		
7888	Qeqchi	ADULTERY	muxuk	muxuk	m u ʃ u kʰ		Mayan	False	0.0		Q'eqchi'	1.0		
10112	Otomi	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i		Otomanguean	False	0.0			0.5		
839	Portuguese	ADZE	enxó	enxó	ẽ ʃ ɔ		Indo-European							
2544	Spanish	ADZE	azuela	azuela	a s w e l a		Indo-European							
10742	ImbaburaQuechua	ADZE	aswila	aswila	a s w i l a		Quechuan	True	1.0		Early Republic	0.8	Spanish	azuela
1066	Portuguese	AFTER	depois	depois	d e p oi ʃ		Indo-European							
2792	Spanish	AFTER	después	después	d ɛ s p w e s		Indo-European							
4364	Yaqui	AFTER	chukula	chukula	tʃ u k u l a		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
7252	Qeqchi	AFTER	moqon	moqon	m o q o n		Mayan	False	0.0		Q'eqchi'	1.0		
9267	Otomi	AFTER	‘mefa	‘mefa	ˀm e f a		Otomanguean	False	0.0		Urbano (1605)	0.9		
9268	Otomi	AFTER	gem’bu	gem’bu	g e m ʔ b u		Otomanguean	False	0.0		modern	0.6		
9269	Otomi	AFTER	'be̲fa	'be̲fa	ˀb æ f a		Otomanguean	False	0.0		Urbano (1605)	0.9		
10892	ImbaburaQuechua	AFTER	jipa	jipa	x i p a		Quechuan	False	0.0		Pre-Inca	1.0		
12100	Wichi	AFTER	lapesey	lapesey	l a p e s e j		Matacoan	False	0.0		1940-present	0.7		
13371	Mapudungun	AFTER	fey wüla	fey_wüla	f e y + w ɨ l a		Araucanian	False	0.0		Pre-1606	1.0		
13372	Mapudungun	AFTER	depwe	depwe	θ e p w e		Araucanian	True	1.0		Post-1883	0.8	Spanish	después
1253	Portuguese	AFTERNOON	tarde	tarde	t a ʁ dʒ i		Indo-European							
2992	Spanish	AFTERNOON	tarde	tarde	t a ɾ ð e		Indo-European							
4540	Yaqui	AFTERNOON	kupteo	kupteo	k u p t e o		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
5860	ZinacantanTzotzil	AFTERNOON	shmal	shmal	ʃ m a l		Mayan	False	0.0		Proto-Tzotzil	1.0		
7490	Qeqchi	AFTERNOON	ewu	ewu	e w u		Mayan	False	0.0		Q'eqchi'	1.0		
9523	Otomi	AFTERNOON	nde	nde	n d e		Otomanguean	False	0.0		Urbano (1605)	0.9		
11024	ImbaburaQuechua	AFTERNOON	chishi	chishi	tʃ i ʃ i		Quechuan	False	0.0		Pre-Inca	1.0		
12237	Wichi	AFTERNOON	hunaj	hunaj	h u n a x		Matacoan	False	0.0		1850-1900	0.8		
13516	Mapudungun	AFTERNOON	rupan antü	rupan_antü	ɻ u p a n + a n t ɨ		Araucanian	False	0.0		Pre-1606	1.0		
1245	Portuguese	AGAIN	outra vez	outra_vez	o t ɾ ɐ + v e ʃ		Indo-European							
1246	Portuguese	AGAIN	de novo	de_novo	dʒ i + n ɔ v u		Indo-European							
2984	Spanish	AGAIN	otra vez	otra_vez	o t ɾ a + β e s		Indo-European							
2985	Spanish	AGAIN	de nuevo	de_nuevo	d e + n w e β o		Indo-European							
4532	Yaqui	AGAIN	intuchia	intuchia	i n t u tʃ i a		Uto-Aztecan	False	0.0		Colonial	0.9		
4533	Yaqui	AGAIN	juchia	juchia	j u tʃ i a		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
5854	ZinacantanTzotzil	AGAIN	noshtok	noshtok	n o ʃ t o k		Mayan	False	0.0		Proto-Tzotzil	1.0		
7485	Qeqchi	AGAIN	wi' chik	wi'_chik	w i ʔ + tʃ i kʰ		Mayan	False	0.0		Q'eqchi'	1.0		
9516	Otomi	AGAIN	ma n’agi	ma_n’agi	m a + n ʔ a g i		Otomanguean	False	0.0			0.5		
11020	ImbaburaQuechua	AGAIN	kutin	kutin	k u t i ŋ		Quechuan	False	0.0		Pre-Inca	1.0		
12232	Wichi	AGAIN	yip	yip	y i p		Matacoan	False	0.0		1850-1900	0.8		
13511	Mapudungun	AGAIN	ka wiño	ka_wiño	k a + w i ɲ o		Araucanian	False	0.0		Pre-1606	1.0		
1213	Portuguese	AGE	idade	idade	i d a dʒ i		Indo-European							
2945	Spanish	AGE	edad	edad	e ð a ð		Indo-European							
4498	Yaqui	AGE	wasuktia	wasuktia	w a s u k t i a		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
5829	ZinacantanTzotzil	AGE	ch’iel	ch’iel	tʃʼ i e l		Mayan	False	0.0		Proto-Tzotzil	1.0		
7443	Qeqchi	AGE	xchi hab’	xchi_hab’	ʃ tʃ i + h a ɓ		Mayan	False	0.0		Q'eqchi'	1.0		
9469	Otomi	AGE	je̲ya	je̲ya	x æ j a		Otomanguean	False	0.0		Urbano (1605)	0.9		
12213	Wichi	AGE	nekchom	nekchom	n e k tʃ o m		Matacoan	False	0.0		1900-1940	0.7		
12214	Wichi	AGE	anio	anio	a n i o		Matacoan	True	1.0		1940-present	0.7	Spanish	año
13487	Mapudungun	AGE	tripantu	tripantu	ʈʂ i p a n t u		Araucanian	False	0.0		Pre-1606	1.0		
76	Portuguese	AIR	ar	ar	a ʁ		Indo-European							
1757	Spanish	AIR	aire	aire	a i ɾ e		Indo-European							
3507	Yaqui	AIR	jeeka	jeeka	j eː k a		Uto-Aztecan	False	0.0		Proto-Sonoran	1.0		
4944	ZinacantanTzotzil	AIR	7ik’	7ik’	ʔ i kʼ		Mayan	False	0.0		Proto-Mayan	1.0		
6210	Qeqchi	AIR	iq’	iq’	i qʼ		Mayan	False	0.0		proto-Mayan	1.0		
7993	Otomi	AIR	ndähi	ndähi	n d ɐ h i		Otomanguean	False	0.0		Urbano (1605)	0.9		
10209	ImbaburaQuechua	AIR	samay	samay	s a m a j		Quechuan	False	0.0		Pre-Inca	1.0		
11367	Wichi	AIR	layalh	layalh	l a j a l̥		Matacoan	False	0.5		1850-1900	0.8	Pilagá	layat
12606	Mapudungun	AIR	kürüf	kürüf	k ɨ ɻ ɨ f		Araucanian	False	0.0		Pre-1606	1.0		
601	Portuguese	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e b i d ɐ + f e ʁ m ẽ t a d ɐ		Indo-European							
2293	Spanish	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e β i ð a + f ɛ ɾ m e n t a ð a		Indo-European							
3974	Yaqui	ALCOHOL (FERMENTED DRINK)	ba’ajipo’okoim	ba’ajipo’okoim	b a ʔ a j i p o ʔ o k o i m		Uto-Aztecan	False	0.0		Modern	0.7		
6757	Qeqchi	ALCOHOL (FERMENTED DRINK)	b’oj	b’oj	ɓ o x		Mayan	False	0.0		proto-K’iche’an	1.0		
6758	Qeqchi	ALCOHOL (FERMENTED DRINK)	ani (2)	ani	a n i		Mayan	False	0.0		Q'eqchi'	1.0		
8622	Otomi	ALCOHOL (FERMENTED DRINK)	sei	sei	s e i		Otomanguean	False	0.0		Urbano (1605)	0.9		
10590	ImbaburaQuechua	ALCOHOL (FERMENTED DRINK)	asua	asua	a s u a		Quechuan	False	0.0		Pre-Inca	1.0		
11774	Wichi	ALCOHOL (FERMENTED DRINK)	hat’es	hat’es	h a t ʔ e s		Matacoan	False	0.0		1850-1900	0.8		
1186	Portuguese	ALL	cada	cada	k a d ɐ		Indo-European							
1187	Portuguese	ALL	tudo	tudo	t u d u		Indo-European							
2919	Spanish	ALL	cada	cada	k a ð a		Indo-European							
2920	Spanish	ALL	todo	todo	t o ð o		Indo-European							
4477	Yaqui	ALL	si’ime (2)	si’ime	s i ʔ i m e		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
5813	ZinacantanTzotzil	ALL	kotol	kotol	k o t o l		Mayan	False	0.0		Proto-Tzeltalan	1.0		
5814	ZinacantanTzotzil	ALL	labal	labal	l a ɓ a l		Mayan	False	0.0		Proto-Tzeltalan	1.0		
7400	Qeqchi	ALL	chi junil	chi_junil	tʃ i + x u n i l		Mayan	False	0.0		Q'eqchi'	1.0		
7401	Qeqchi	ALL	anchal	anchal	a n tʃ a l		Mayan	False	0.0		Q'eqchi'	1.0		
7402	Qeqchi	ALL	rek’	rek’	r e kʼ		Mayan	False	0.0		Q'eqchi'	1.0		
9426	Otomi	ALL	ga̲tho	ga̲tho	g ɔ θ o		Otomanguean	False	0.0		Urbano (1605)	0.9		
9427	Otomi	ALL	kadu̲	kadu̲	k a d u		Otomanguean	True	1.0		pre-modern	1.0	Spanish	cada
9428	Otomi	ALL	ta̲t’i	ta̲t’i	t̪ ɔ t̪ʼ i		Otomanguean	False	0.0		Urbano (1605)	0.9		
10979	ImbaburaQuechua	ALL	tukuy	tukuy	t u k u j		Quechuan	False	0.0		Pre-Inca	1.0		
12196	Wichi	ALL	nufwu	nufwu	n u fʷ u		Matacoan	False	0.0		1850-1900	0.8		
13464	Mapudungun	ALL	kom	kom	k o m		Araucanian	False	0.0		Pre-1606	1.0		
1545	Portuguese	ALLOW OR PERMIT	deixar	deixar	d ei ʃ a ʁ		Indo-European							
1546	Portuguese	ALLOW OR PERMIT	permitir	permitir	p e ʁ m i tʃ i ʁ		Indo-European							
3312	Spanish	ALLOW OR PERMIT	permitir	permitir	p ɛ ɾ m i t i ɾ		Indo-European							
3313	Spanish	ALLOW OR PERMIT	dejar	dejar	d e x a ɾ		Indo-European							
1658	Portuguese	ALTAR	altar	altar	au t a ʁ		Indo-European							
3423	Spanish	ALTAR	altar	altar	a l t a ɾ		Indo-European							
4865	Yaqui	ALTAR	altaar	altaar	a l t aː r		Uto-Aztecan	True	1.0		Colonial	0.9	Spanish	altar
6128	ZinacantanTzotzil	ALTAR	7altal	7altal	ʔ a l t a l		Mayan	True	1.0		Earlier Colonial	0.9	Spanish	altar
7898	Qeqchi	ALTAR	artal	artal	a ɾ t a l		Mayan	True	1.0		Post-Conquest Q’eqchi’	0.9	Spanish	altar
10125	Otomi	ALTAR	ntsaya jwä	ntsaya_jwä	n ts a j a + xʷ ɐ		Otomanguean	False	0.0			0.5		
10126	Otomi	ALTAR	tsita	tsita	ts i t̪ a		Otomanguean	False	0.0			0.5		
10127	Otomi	ALTAR	ata	ata	a t̪ a		Otomanguean	True	1.0		pre-modern	1.0	Spanish	altar
11305	ImbaburaQuechua	ALTAR	altar	altar	a l t a ɾ		Quechuan	True	1.0		Contemporary	0.7	Spanish	altar
12526	Wichi	ALTAR	altal	altal	a l t a l		Matacoan	True	1.0		1940-present	0.7	Spanish	altar
1238	Portuguese	ALWAYS	sempre	sempre	s ẽ p ɾ i		Indo-European							
2976	Spanish	ALWAYS	siempre	siempre	s j e m p ɾ e		Indo-European							
4522	Yaqui	ALWAYS	jiba	jiba	j i b a		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
4523	Yaqui	ALWAYS	chikti	chikti	tʃ i k t i		Uto-Aztecan	False	0.0		Modern	0.7		
5848	ZinacantanTzotzil	ALWAYS	sempre	sempre	s e m p ɾ e		Mayan	True	1.0		Later Colonial	0.9	Spanish	siempre
7479	Qeqchi	ALWAYS	junelik	junelik	x u n e l i kʰ		Mayan	False	0.0		Q'eqchi'	1.0		
9506	Otomi	ALWAYS	zäntho	zäntho	z ɐ n θ o		Otomanguean	False	0.0		modern	0.6		
9507	Otomi	ALWAYS	(n)zäm'bu̲	(n)zäm'bu̲	n z ɐ m ˀb u		Otomanguean	False	0.0		modern	0.6		
11014	ImbaburaQuechua	ALWAYS	simpri	simpri	s i m b ɾ i		Quechuan	True	1.0		Contemporary	0.7	Spanish	siempre
13504	Mapudungun	ALWAYS	rumel	rumel	ɻ u m e l		Araucanian	False	0.0		Pre-1606	1.0		
1605	Portuguese	AMBUSH	emboscada	emboscada	ẽ b o ʃ k a d ɐ		Indo-European							
3372	Spanish	AMBUSH	acechar	acechar	a s e tʃ a ɾ		Indo-European							
3373	Spanish	AMBUSH	emboscar	emboscar	e m b o s k a ɾ		Indo-European							
4820	Yaqui	AMBUSH	bo’o yejteria	bo’o_yejteria	b o ʔ o + j e j t e r i a		Uto-Aztecan	False	0.0		Modern	0.7		
10052	Otomi	AMBUSH	nt’ä	nt’ä	n t̪ʼ ɐ		Otomanguean	False	0.0		Urbano (1605)	0.9		
10053	Otomi	AMBUSH	nu (3)	nu	n u		Otomanguean	False	0.0		modern	0.6		
13754	Mapudungun	AMBUSH	lloftun	lloftun	ʎ o f t u n		Araucanian	False	0.0		Pre-1606	1.0		
159	Portuguese	ANCESTORS	antepassados	antepassados	ɐ̃ t e p a s a d u ʃ		Indo-European							
160	Portuguese	ANCESTORS	ancestrais	ancestrais	ɐ̃ s e ʃ t ɾ ai ʃ		Indo-European							
1839	Spanish	ANCESTORS	antepasados	antepasados	a n t e p a s a ð o s		Indo-European							
3594	Yaqui	ANCESTORS	yo’owe ~ yoowe	yo’owe	j o ʔ o w e		Uto-Aztecan	False	0.0		Proto-Uto-Aztecan	1.0		
5013	ZinacantanTzotzil	ANCESTORS	7antivo	7antivo	ʔ a n t i v o		Mayan	True	1.0		colonial	0.5	Spanish	antiguo
6295	Qeqchi	ANCESTORS	xe’toon	xe’toon	ʃ e ʔ t oː n		Mayan	False	0.0		Q'eqchi'	1.0		
8090	Otomi	ANCESTORS	mbo̲xita	mbo̲xita	m b ə x i t̪ a		Otomanguean	False	0.0			0.5		
10273	ImbaburaQuechua	ANCESTORS	ñaupa runakuna	ñaupa_runakuna	ɲ a u p a + ɾ u n a k u n a		Quechuan	False	0.0		Pre-Inca	1.0		
11426	Wichi	ANCESTORS	pajchehen	pajchehen	p a x tʃ e h e n		Matacoan	False	0.0		1850-1900	0.8		
12709	Mapudungun	ANCESTORS	kwifike che yem	kwifike_che_yem	k w i f i k e + tʃ e + y e m		Araucanian	False	0.0		Pre-1606	1.0		
1006	Portuguese	ANCHOR	âncora	âncora	ɐ̃ k u ɾ ɐ		Indo-European							
2723	Spanish	ANCHOR	ancla	ancla	a n k l a		Indo-European							
4315	Yaqui	ANCHOR	amklam	amklam	a m k l a m		Uto-Aztecan	True	1.0		Modern	0.7	Spanish	ancla
12053	Wichi	ANCHOR	walku katmek	walku_katmek	w a l k u + k a t m e k		Matacoan	True	1.0	walku<barco ‘ship’	1940-present	0.7	Spanish	barco
1452	Portuguese	AND	e	e	i		Indo-European							
3210	Spanish	AND	y	y	i		Indo-European							
4703	Yaqui	AND	into	into	i n t o		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
6008	ZinacantanTzotzil	AND	7i	7i	ʔ i		Mayan	False	0.5		Later Colonial	0.9	Spanish	y
7707	Qeqchi	AND	ut	ut	u tʰ		Mayan	False	0.0		Q'eqchi'	1.0		
9812	Otomi	AND	ne (3)	ne	n e		Otomanguean	False	0.0		Urbano (1605)	0.9		
11175	ImbaburaQuechua	AND	-pash	-pash	p a ʃ		Quechuan	False	0.0		Pre-Inca	1.0		
12393	Wichi	AND	wet	wet	w e t		Matacoan	False	0.0		1850-1900	0.8		
13662	Mapudungun	AND	ka	ka	k a		Araucanian	False	0.0		Pre-1606	1.0		
1373	Portuguese	ANGER	raiva	raiva	ʁ ai v ɐ		Indo-European							
1374	Portuguese	ANGER	ira	ira	i ɾ ɐ		Indo-European							
3114	Spanish	ANGER	enojo	enojo	e n o x o		Indo-European							
3115	Spanish	ANGER	ira	ira	i ɾ a		Indo-European							
3116	Spanish	ANGER	rabia	rabia	r a β j a		Indo-European							
4635	Yaqui	ANGER	omtia	omtia	o m t i a		Uto-Aztecan	False	0.0		Proto-Cahitan	1.0		
5948	ZinacantanTzotzil	ANGER	k’ak’al	k’ak’al	kʼ a kʼ a l		Mayan	False	0.0		Proto-Mayan	1.0		
7621	Qeqchi	ANGER	waxerk	waxerk	w a ʃ e ɾ kʰ		Mayan	False	0.0		Q'eqchi'	1.0		
7622	Qeqchi	ANGER	josq'il	josq'il	x o s qʼ i l		Mayan	False	0.0		Q'eqchi'	1.0		
7623	Qeqchi	ANGER	po'jik	po'jik	p o ʔ x i kʰ		Mayan	False	0.0		Q'eqchi'	1.0		
9681	Otomi	ANGER	(mbo̲)kwe̲	(mbo̲)kwe̲	m b ə kʷ æ		Otomanguean	False	0.0		Urbano (1605)	0.9		
11115	ImbaburaQuechua	ANGER	fiña (1)	fiña	ɸ i ɲ a		Quechuan	False	0.0		Pre-Inca	1.0		
12331	Wichi	ANGER	tawokwoylhi	tawokwoylhi	t a w o kʷ o j lˠ i		Matacoan	False	0.0		1940-present	0.7		
13600	Mapudungun	ANGER	illkun	illkun	i ʎ k u n		Araucanian	False	0.0		Pre-1606	1.0		
193	Portuguese	ANIMAL	animal	animal	ɐ n i m au		Indo-European							
194	Portuguese	ANIMAL	bicho	bicho	b i ʃ u		Indo-European							
1877	Spanish	ANIMAL	animal	animal	a n i m a l		Indo-European							
3621	Yaqui	ANIMAL	animaal	animaal	a n i m aː l		Uto-Aztecan	True	1.0		Colonial	0.9	Spanish	animal
5033	ZinacantanTzotzil	ANIMAL	7animal	7animal	ʔ a n i m a l		Mayan	True	1.0		colonial	0.5	Spanish	animal
5034	ZinacantanTzotzil	ANIMAL	chanulil	chanulil	tʃʰ a n u l i l		Mayan	False	0.0		Proto-Tzotzil	1.0		
5035	ZinacantanTzotzil	ANIMAL	chon	chon	tʃʰ o n		Mayan	False	0.0		Proto-Mayan	1.0		
6327	Qeqchi	ANIMAL	xul	xul	ʃ u l		Mayan	False	0.0		Q'eqchi'	1.0		
8160	Otomi	ANIMAL	zu'we	zu'we	z u ˀw e		Otomanguean	False	0.0		Urbano (1605)	0.9		
10298	ImbaburaQuechua	ANIMAL	animal	animal	a n i m a l		Quechuan	True	1.0		Late Colonial	0.9	Spanish	animal
11450	Wichi	ANIMAL	tshowet	tshowet	tsʰ o w e t		Matacoan	False	0.0		1940-present	0.7		
12740	Mapudungun	ANIMAL	kulliñ	kulliñ	k u ʎ i ɲ		Araucanian	False	0.0		Pre-1606	1.0		
383	Portuguese	ANKLE	tornozelo	tornozelo	t o ʁ n o z ɛ l u		Indo-European							
2080	Spanish	ANKLE	tobillo	tobillo	t o β i ʝ o		Indo-European							
3790	Yaqui	ANKLE	tero’okim	tero’okim	t e r o ʔ o k i m		Uto-Aztecan	False	0.0		Proto-Sonoran	1.0		
5208	ZinacantanTzotzil	ANKLE	nuk’ 7okol	nuk’_7okol	n u kʼ + ʔ o k o l		Mayan	False	0.0		Proto-Tzeltalan	1.0		
6526	Qeqchi	ANKLE	kux oq	kux_oq	k u ʃ + o qʰ		Mayan	False	0.0		Q'eqchi'	1.0		
6527	Qeqchi	ANKLE	xmap oq	xmap_oq	ʃ m a p + o qʰ		Mayan	False	0.0		proto-Eastern Mayan	1.0		
8381	Otomi	ANKLE	bots'undo'yo wa	bots'undo'yo_wa	b o tsʼ u n d o ˀj o + w a		Otomanguean	False	0.0			0.5		
10441	ImbaburaQuechua	ANKLE	chaki muku	chaki_muku	tʃ a k i + m u k u		Quechuan	False	0.0		Pre-Inca	1.0		
