ID	DOCULECT	FAMILY	CONCEPT_NAME	CONCEPT	VALUE	FORM	TOKENS	BORROWED	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCALLID_0	SCA_0	SCA_0ID
8426	Otomi	Otomanguean	dribble	DRIBBLE	ju̲t'i (1)	ju̲t'i	x u t̪ʼ i	False	0.0			3 7 1 7	AXBZ	GYTI	3	3.G.C 3.Y.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	xut̪ʼi	1	0	3179-Otomanguean	4876
8427	Otomi	Otomanguean	dribble	DRIBBLE	ju̲xt'i	ju̲xt'i	x u x t̪ʼ i	False	0.0			3 7 3 1 7	AXMBZ	GYGTI	3	3.G.C 3.Y.V 3.G.c 3.T.C 3.I.V	2.0 1.5 1.1 1.75 0.8	xuxt̪ʼi	0	0	3179-Otomanguean	4876
10473	ImbaburaQuechua	Quechuan	dribble	DRIBBLE	llaushana	llaushana	ʒ a u ʃ a n a	False	0.0			3 7 7 3 7 4 7	AXYBYBZ	SAYSANA	1	1.S.C 1.A.V 1.Y.V 1.S.C 1.A.V 1.N.C 1.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	ʒauʃana	0	0	3178-Quechuan	4875
11654	Wichi	Matacoan	dribble	DRIBBLE	lak’ajt’i	lak’ajt’i	l a k ʔ a x t ʔ i	False	0.0			5 7 1 1 7 3 1 1 7	AXMBYLMBZ	LAKHAGTHI	7	7.L.C 7.A.V 7.K.c 7.H.C 7.A.V 7.G.c 7.T.c 7.H.C 7.I.V	2.0 1.5 1.1 1.75 1.3 1.1 1.1 1.75 0.8	lakʔaxtʔi	0	0	3183-Matacoan	4881
509	Portuguese	Indo-European	drink	DRINK	beber	beber	b e b e ʁ					1 7 1 7 5	AXBYN	PEPER	4	4.P.C 4.E.V 4.P.C 4.E.V 4.R.c	2.0 1.5 1.75 1.3 0.8	bebeʁ	0	0	3188-Indo-European	4887
510	Portuguese	Indo-European	drink	DRINK	tomar	tomar	t o m a ʁ					1 7 4 7 5	AXBYN	TUMAR	4	4.T.C 4.U.V 4.M.C 4.A.V 4.R.c	2.0 1.5 1.75 1.3 0.8	tomaʁ	0	0	3195-Indo-European	4893
2209	Spanish	Indo-European	drink	DRINK	beber	beber	b e β ɛ ɾ					1 7 3 7 5	AXBYN	PEBER	6	6.P.C 6.E.V 6.B.C 6.E.V 6.R.c	2.0 1.5 1.75 1.3 0.8	beβɛɾ	0	0	3188-Indo-European	4887
3895	Yaqui	Uto-Aztecan	drink	DRINK	je’e	je’e	j e ʔ e	False	0.0			6 7 1 7	AXBZ	JEHE	8	8.J.C 8.E.V 8.H.C 8.E.V	2.0 1.5 1.75 0.8	jeʔe	1	0	3192-Uto-Aztecan	4891
5318	ZinacantanTzotzil	Mayan	drink	DRINK	7uch’ (2)	7uch’	ʔ u tʃʼ	False	0.0			1 7 1	AXN	HYT	9	9.H.C 9.Y.V 9.T.c	2.0 1.5 0.8	ʔutʃʼ	0	0	3193-Mayan	4892
6667	Qeqchi	Mayan	drink	DRINK	uk'ak	uk'ak	u kʼ a kʰ	False	0.0			7 1 7 1	XBYN	YKAK	5	5.Y.V 5.K.C 5.A.V 5.K.c	1.5 1.75 1.3 0.8	ukʼakʰ	0	0	3189-Mayan	4888
8521	Otomi	Otomanguean	drink	DRINK	tsi	tsi	ts i	False	0.0			2 7	AX	CI	3	3.C.C 3.I.V	2.0 1.5	tsi	0	0	3187-Otomanguean	4886
8522	Otomi	Otomanguean	drink	DRINK	tsithe	tsithe	ts i θ e	False	0.0			2 7 3 7	AXBZ	CIDE	3	3.C.C 3.I.V 3.D.C 3.E.V	2.0 1.5 1.75 0.8	tsiθe	0	0	3187-Otomanguean	4886
8523	Otomi	Otomanguean	drink	DRINK	'bet'i	'bet'i	ˀb e t̪ʼ i	False	0.0			1 7 1 7	AXBZ	PETI	3	3.P.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	ˀbet̪ʼi	0	0	3186-Otomanguean	4885
10526	ImbaburaQuechua	Quechuan	drink	DRINK	ufiana	ufiana	u ɸ i a n a	False	0.0			7 3 7 7 4 7	XBYYBZ	YBIANA	1	1.Y.V 1.B.C 1.I.V 1.A.V 1.N.C 1.A.V	1.5 1.75 1.3 1.3 1.75 0.8	uɸiana	0	0	3185-Quechuan	4883
11713	Wichi	Matacoan	drink	DRINK	iyoyej	iyoyej	i j o j e x	False	0.0			7 6 7 6 7 3	XBYBYN	IJUJEG	7	7.I.V 7.J.C 7.U.V 7.J.C 7.E.V 7.G.c	1.5 1.75 1.3 1.75 1.3 0.8	ijojex	0	0	3191-Matacoan	4890
12987	Mapudungun	Araucanian	drink	DRINK	pütun	pütun	p ɨ t u n	False	0.0			1 7 1 7 4	AXBYN	PITYN	2	2.P.C 2.I.V 2.T.C 2.Y.V 2.N.c	2.0 1.5 1.75 1.3 0.8	pɨtun	0	0	3186-Araucanian	4884
920	Portuguese	Indo-European	drip (emit liquid)	DRIPEMITLIQUID	gotejar	gotejar	ɡ o t e ʒ a ʁ					1 7 1 7 3 7 5	AXBYBYN	KUTESAR	4	4.K.C 4.U.V 4.T.C 4.E.V 4.S.C 4.A.V 4.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ɡoteʒaʁ	0	0	3199-Indo-European	4897
921	Portuguese	Indo-European	drip (emit liquid)	DRIPEMITLIQUID	escorrer	escorrer	i ʃ k o ʁ e ʁ					7 3 1 7 5 7 5	XMBYBYN	ISKURER	4	4.I.V 4.S.c 4.K.C 4.U.V 4.R.C 4.E.V 4.R.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	iʃkoʁeʁ	0	0	3207-Indo-European	4903
2637	Spanish	Indo-European	drip (emit liquid)	DRIPEMITLIQUID	gotear	gotear	g o t e a ɾ					1 7 1 7 7 5	AXBYYN	KUTEAR	6	6.K.C 6.U.V 6.T.C 6.E.V 6.A.V 6.R.c	2.0 1.5 1.75 1.3 1.3 0.8	goteaɾ	1	0	3199-Indo-European	4897
2638	Spanish	Indo-European	drip (emit liquid)	DRIPEMITLIQUID	escurrir	escurrir	ɛ s k u r i ɾ					7 3 1 7 5 7 5	XMBYBYN	ESKYRIR	6	6.E.V 6.S.c 6.K.C 6.Y.V 6.R.C 6.I.V 6.R.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	ɛskuriɾ	0	0	3207-Indo-European	4903
4234	Yaqui	Uto-Aztecan	drip (emit liquid)	DRIPEMITLIQUID	chakte	chakte	tʃ a k t e	False	0.0			1 7 1 1 7	AXMBZ	TAKTE	8	8.T.C 8.A.V 8.K.c 8.T.C 8.E.V	2.0 1.5 1.1 1.75 0.8	tʃakte	1	0	3203-Uto-Aztecan	4901
5612	ZinacantanTzotzil	Mayan	drip (emit liquid)	DRIPEMITLIQUID	tz’uh	tz’uh	tsʼ u h	False	0.0			1 7 3	AXN	TYH	9	9.T.C 9.Y.V 9.H.c	2.0 1.5 0.8	tsʼuh	0	0	3204-Mayan	4902
7086	Qeqchi	Mayan	drip (emit liquid)	DRIPEMITLIQUID	rachrotk	rachrotk	r a tʃ ɾ o t kʰ	False	0.0			5 7 1 5 7 1 1	AXBCYLN	RATRUTK	5	5.R.C 5.A.V 5.T.C 5.R.C 5.U.V 5.T.c 5.K.c	2.0 1.5 1.75 1.5 1.3 1.1 0.8	ratʃɾotkʰ	0	0	3200-Mayan	4899
7087	Qeqchi	Mayan	drip (emit liquid)	DRIPEMITLIQUID	tz'iltz'otk	tz'iltz'otk	tsʼ i l tsʼ o t kʰ	False	0.0			1 7 5 1 7 1 1	AXMBYLN	TILTUTK	5	5.T.C 5.I.V 5.L.c 5.T.C 5.U.V 5.T.c 5.K.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	tsʼiltsʼotkʰ	0	0	3208-Mayan	4904
7088	Qeqchi	Mayan	drip (emit liquid)	DRIPEMITLIQUID	tz'uqluk	tz'uqluk	tsʼ u q l u kʰ	False	0.0			1 7 1 5 7 1	AXBCYN	TYKLYK	5	5.T.C 5.Y.V 5.K.C 5.L.C 5.Y.V 5.K.c	2.0 1.5 1.75 1.5 1.3 0.8	tsʼuqlukʰ	0	0	3210-Mayan	4906
7089	Qeqchi	Mayan	drip (emit liquid)	DRIPEMITLIQUID	okesink	okesink	o k e s i n kʰ	False	0.0			7 1 7 3 7 4 1	XBYBYLN	UKESINK	5	5.U.V 5.K.C 5.E.V 5.S.C 5.I.V 5.N.c 5.K.c	1.5 1.75 1.3 1.75 1.3 1.1 0.8	okesinkʰ	0	0	3211-Mayan	4907
9066	Otomi	Otomanguean	drip (emit liquid)	DRIPEMITLIQUID	ju̲t'i (1)	ju̲t'i	x u t̪ʼ i	False	0.0			3 7 1 7	AXBZ	GYTI	3	3.G.C 3.Y.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	xut̪ʼi	1	0	3198-Otomanguean	4896
9067	Otomi	Otomanguean	drip (emit liquid)	DRIPEMITLIQUID	ju̲xt'i	ju̲xt'i	x u x t̪ʼ i	False	0.0			3 7 3 1 7	AXMBZ	GYGTI	3	3.G.C 3.Y.V 3.G.c 3.T.C 3.I.V	2.0 1.5 1.1 1.75 0.8	xuxt̪ʼi	1	0	3198-Otomanguean	4896
10794	ImbaburaQuechua	Quechuan	drip (emit liquid)	DRIPEMITLIQUID	shutuna	shutuna	ʃ u t u n a	False	0.0			3 7 1 7 4 7	AXBYBZ	SYTYNA	1	1.S.C 1.Y.V 1.T.C 1.Y.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	ʃutuna	0	0	3196-Quechuan	4894
11986	Wichi	Matacoan	drip (emit liquid)	DRIPEMITLIQUID	nitun	nitun	n i t u n	False	0.0			4 7 1 7 4	AXBYN	NITYN	7	7.N.C 7.I.V 7.T.C 7.Y.V 7.N.c	2.0 1.5 1.75 1.3 0.8	nitun	0	0	3202-Matacoan	4900
13267	Mapudungun	Araucanian	drip (emit liquid)	DRIPEMITLIQUID	lüykün	lüykün	l ɨ y k ɨ n	False	0.0			5 7 7 1 7 4	AXYBYN	LIYKIN	2	2.L.C 2.I.V 2.Y.V 2.K.C 2.I.V 2.N.c	2.0 1.5 1.3 1.75 1.3 0.8	lɨykɨn	0	0	3197-Araucanian	4895
13268	Mapudungun	Araucanian	drip (emit liquid)	DRIPEMITLIQUID	naylükün	naylükün	n a y l ɨ k ɨ n	False	0.0			4 7 7 5 7 1 7 4	AXYBYBYN	NAYLIKIN	2	2.N.C 2.A.V 2.Y.V 2.L.C 2.I.V 2.K.C 2.I.V 2.N.c	2.0 1.5 1.3 1.75 1.3 1.75 1.3 0.8	naylɨkɨn	0	0	3197-Araucanian	4895
980	Portuguese	Indo-European	drive	DRIVE	dirigir	dirigir	dʒ i ɾ i ʒ i ʁ					1 7 5 7 3 7 5	AXBYBYN	TIRISIR	4	4.T.C 4.I.V 4.R.C 4.I.V 4.S.C 4.I.V 4.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	dʒiɾiʒiʁ	0	0	3215-Indo-European	4912
2699	Spanish	Indo-European	drive	DRIVE	conducir	conducir	k o n d u s i ɾ					1 7 4 1 7 3 7 5	AXMBYBYN	KUNTYSIR	6	6.K.C 6.U.V 6.N.c 6.T.C 6.Y.V 6.S.C 6.I.V 6.R.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	kondusiɾ	0	0	3217-Indo-European	4914
4290	Yaqui	Uto-Aztecan	drive	DRIVE	weetua	weetua	w eː t u a	False	0.0			6 7 1 7 7	AXBYZ	WETYA	8	8.W.C 8.E.V 8.T.C 8.Y.V 8.A.V	2.0 1.5 1.75 1.3 0.8	weːtua	0	0	3219-Uto-Aztecan	4915
7164	Qeqchi	Mayan	drive	DRIVE	b'eeresink	b'eeresink	ɓ eː ɾ e s i n kʰ	False	0.0			1 7 5 7 3 7 4 1	AXBYBYLN	PERESINK	5	5.P.C 5.E.V 5.R.C 5.E.V 5.S.C 5.I.V 5.N.c 5.K.c	2.0 1.5 1.75 1.3 1.75 1.3 1.1 0.8	ɓeːɾesinkʰ	0	0	3216-Mayan	4913
9164	Otomi	Otomanguean	drive	DRIVE	e̲t'i	e̲t'i	æ t̪ʼ i	False	0.0			7 1 7	XBZ	ETI	3	3.E.V 3.T.C 3.I.V	1.5 1.75 0.8	æt̪ʼi	0	0	3214-Otomanguean	4911
9165	Otomi	Otomanguean	drive	DRIVE	e̲	e̲	æ	False	0.0			7	X	E	3	3.E.V	1.5	æ	0	0	3214-Otomanguean	4911
9166	Otomi	Otomanguean	drive	DRIVE	'yoni	'yoni	ˀj o n i	False	0.0			6 7 4 7	AXBZ	JUNI	3	3.J.C 3.U.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8	ˀjoni	0	0	3221-Otomanguean	4918
10838	ImbaburaQuechua	Quechuan	drive	DRIVE	manijana	manijana	m a n i x a n a	True	1.0	Spanish	manejar	4 7 4 7 3 7 4 7	AXBYBYBZ	MANIGANA	1	1.M.C 1.A.V 1.N.C 1.I.V 1.G.C 1.A.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	manixana	0	0	3212-Quechuan	4909
12035	Wichi	Matacoan	drive	DRIVE	manija	manija	m a n i x a	True	1.0	Spanish	manejá	4 7 4 7 3 7	AXBYBZ	MANIGA	7	7.M.C 7.A.V 7.N.C 7.I.V 7.G.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	manixa	0	0	3212-Matacoan	4908
13313	Mapudungun	Araucanian	drive	DRIVE	amulün	amulün	a m u l ɨ n	False	0.0			7 4 7 5 7 4	XBYBYN	AMYLIN	2	2.A.V 2.M.C 2.Y.V 2.L.C 2.I.V 2.N.c	1.5 1.75 1.3 1.75 1.3 0.8	amulɨn	0	0	3213-Araucanian	4910
914	Portuguese	Indo-European	drop (something)	DROPSOMETHING	deixar cair	deixar_cair	d ei ʃ a ʁ + k a i ʁ					1 7 3 7 5 9 1 7 7 5	AXBYN_AXYN	TESAR_KAIR	4	4.T.C 4.E.V 4.S.C 4.A.V 4.R.c 4._._ 4.K.C 4.A.V 4.I.V 4.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.3 0.8	deiʃaʁ+kaiʁ	0	0	3225-Indo-European	4922
2631	Spanish	Indo-European	drop (something)	DROPSOMETHING	dejar caer	dejar_caer	d e x a ɾ + k a ɛ ɾ					1 7 3 7 5 9 1 7 7 5	AXBYN_AXYN	TEGAR_KAER	6	6.T.C 6.E.V 6.G.C 6.A.V 6.R.c 6._._ 6.K.C 6.A.V 6.E.V 6.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.3 0.8	dexaɾ+kaɛɾ	0	0	3225-Indo-European	4922
4229	Yaqui	Uto-Aztecan	drop (something)	DROPSOMETHING	kom tatabe	kom_tatabe	k o m + t a t a b e	False	0.0			1 7 4 9 1 7 1 7 1 7	AXN_AXBYBZ	KUM_TATAPE	8	8.K.C 8.U.V 8.M.c 8._._ 8.T.C 8.A.V 8.T.C 8.A.V 8.P.C 8.E.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	kom+tatabe	0	0	3229-Uto-Aztecan	4925
5602	ZinacantanTzotzil	Mayan	drop (something)	DROPSOMETHING	p’ahes	p’ahes	pʼ a h e s	False	0.0			1 7 3 7 3	AXBYN	PAHES	9	9.P.C 9.A.V 9.H.C 9.E.V 9.S.c	2.0 1.5 1.75 1.3 0.8	pʼahes	0	0	3230-Mayan	4926
7074	Qeqchi	Mayan	drop (something)	DROPSOMETHING	xkoq’b’al	xkoq’b’al	ʃ k o qʼ ɓ a l	False	0.0			3 1 7 1 1 7 5	ACYMBYN	SKUKPAL	5	5.S.C 5.K.C 5.U.V 5.K.c 5.P.C 5.A.V 5.L.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	ʃkoqʼɓal	0	0	3226-Mayan	4923
7075	Qeqchi	Mayan	drop (something)	DROPSOMETHING	b’alq’unsink	b’alq’unsink	ɓ a l qʼ u n s i n kʰ	False	0.0			1 7 5 1 7 4 3 7 4 1	AXMBYMBYLN	PALKYNSINK	5	5.P.C 5.A.V 5.L.c 5.K.C 5.Y.V 5.N.c 5.S.C 5.I.V 5.N.c 5.K.c	2.0 1.5 1.1 1.75 1.3 1.1 1.75 1.3 1.1 0.8	ɓalqʼunsinkʰ	0	0	3232-Mayan	4927
9055	Otomi	Otomanguean	drop (something)	DROPSOMETHING	hegi	hegi	h e g i	False	0.0			3 7 1 7	AXBZ	HEKI	3	3.H.C 3.E.V 3.K.C 3.I.V	2.0 1.5 1.75 0.8	hegi	1	0	3224-Otomanguean	4921
9056	Otomi	Otomanguean	drop (something)	DROPSOMETHING	hegi tsots'i	hegi_tsots'i	h e g i + ts o tsʼ i	False	0.0			3 7 1 7 9 2 7 1 7	AXBZ_AXBZ	HEKI_CUTI	3	3.H.C 3.E.V 3.K.C 3.I.V 3._._ 3.C.C 3.U.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	hegi+tsotsʼi	0	0	3224-Otomanguean	4921
10789	ImbaburaQuechua	Quechuan	drop (something)	DROPSOMETHING	kacharina (2)	kacharina	k a tʃ a ɾ i n a	False	0.0			1 7 1 7 5 7 4 7	AXBYBYBZ	KATARINA	1	1.K.C 1.A.V 1.T.C 1.A.V 1.R.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	katʃaɾina	0	0	3222-Quechuan	4919
11981	Wichi	Matacoan	drop (something)	DROPSOMETHING	ileyej	ileyej	i l e j e x	False	0.0			7 5 7 6 7 3	XBYBYN	ILEJEG	7	7.I.V 7.L.C 7.E.V 7.J.C 7.E.V 7.G.c	1.5 1.75 1.3 1.75 1.3 0.8	ilejex	1	0	3228-Matacoan	4924
13262	Mapudungun	Araucanian	drop (something)	DROPSOMETHING	müñalün	müñalün	m ɨ ɲ a l ɨ n	False	0.0			4 7 4 7 5 7 4	AXBYBYN	MINALIN	2	2.M.C 2.I.V 2.N.C 2.A.V 2.L.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	mɨɲalɨn	0	0	3223-Araucanian	4920
451	Portuguese	Indo-European	drowned	DROWNED	afogado	afogado	a f o ɡ a d u					7 3 7 1 7 1 7	XBYBYBZ	ABUKATY	4	4.A.V 4.B.C 4.U.V 4.K.C 4.A.V 4.T.C 4.Y.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	afoɡadu	0	0	3233-Indo-European	4928
2147	Spanish	Indo-European	drowned	DROWNED	ahogado	ahogado	a o ɣ a ð o					7 7 3 7 3 7	XYBYBZ	AUGADU	6	6.A.V 6.U.V 6.G.C 6.A.V 6.D.C 6.U.V	1.5 1.3 1.75 1.3 1.75 0.8	aoɣaðo	0	0	3233-Indo-European	4928
1511	Portuguese	Indo-European	drum	DRUM	tambor	tambor	t ɐ̃ b ɔ ʁ					1 7 1 7 5	AXBYN	TEPUR	4	4.T.C 4.E.V 4.P.C 4.U.V 4.R.c	2.0 1.5 1.75 1.3 0.8	tɐ̃bɔʁ	0	3234	3234-Indo-European	4929
3274	Spanish	Indo-European	drum	DRUM	bombo	bombo	b o m b o					1 7 4 1 7	AXMBZ	PUMPU	6	6.P.C 6.U.V 6.M.c 6.P.C 6.U.V	2.0 1.5 1.1 1.75 0.8	bombo	0	0	3238-Indo-European	4934
3275	Spanish	Indo-European	drum	DRUM	tambor	tambor	t a m b o ɾ					1 7 4 1 7 5	AXMBYN	TAMPUR	6	6.T.C 6.A.V 6.M.c 6.P.C 6.U.V 6.R.c	2.0 1.5 1.1 1.75 1.3 0.8	tamboɾ	0	3234	3234-Indo-European	4929
4760	Yaqui	Uto-Aztecan	drum	DRUM	kubaji	kubaji	k u b a j i	False	0.0			1 7 1 7 6 7	AXBYBZ	KYPAJI	8	8.K.C 8.Y.V 8.P.C 8.A.V 8.J.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kubaji	0	0	3240-Uto-Aztecan	4937
6064	ZinacantanTzotzil	Mayan	drum	DRUM	tampol	tampol	t a m p o l	True	1.0	Spanish	tambor	1 7 4 1 7 5	AXMBYN	TAMPUL	9	9.T.C 9.A.V 9.M.c 9.P.C 9.U.V 9.L.c	2.0 1.5 1.1 1.75 1.3 0.8	tampol	0	3234	3234-Mayan	4930
6065	ZinacantanTzotzil	Mayan	drum	DRUM	vob	vob	v o b	False	0.0			3 7 1	AXN	BUP	9	9.B.C 9.U.V 9.P.c	2.0 1.5 0.8	vob	0	0	3245-Mayan	4939
7768	Qeqchi	Mayan	drum	DRUM	tamb'or	tamb'or	t a m ɓ o r	True	1.0	Spanish	tambor	1 7 4 1 7 5	AXMBYN	TAMPUR	5	5.T.C 5.A.V 5.M.c 5.P.C 5.U.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	tamɓor	0	3234	3234-Mayan	4930
7769	Qeqchi	Mayan	drum	DRUM	moor	moor	m oː r	False	0.0			4 7 5	AXN	MUR	5	5.M.C 5.U.V 5.R.c	2.0 1.5 0.8	moːr	0	0	3243-Mayan	4938
9922	Otomi	Otomanguean	drum	DRUM	bixfani	bixfani	b i x f a n i	False	0.0			1 7 3 3 7 4 7	AXMBYBZ	PIGBANI	3	3.P.C 3.I.V 3.G.c 3.B.C 3.A.V 3.N.C 3.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	bixfani	0	0	3235-Otomanguean	4933
9923	Otomi	Otomanguean	drum	DRUM	tambo	tambo	t̪ a m b o	True	1.0	Spanish	tambor	1 7 4 1 7	AXMBZ	TAMPU	3	3.T.C 3.A.V 3.M.c 3.P.C 3.U.V	2.0 1.5 1.1 1.75 0.8	t̪ambo	0	3234	3234-Otomanguean	4931
11227	ImbaburaQuechua	Quechuan	drum	DRUM	tambur	tambur	t a m b u ɾ	True	1.0	Spanish	tambor	1 7 4 1 7 5	AXMBYN	TAMPYR	1	1.T.C 1.A.V 1.M.c 1.P.C 1.Y.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	tambuɾ	0	3234	3234-Quechuan	4932
12446	Wichi	Matacoan	drum	DRUM	topem	topem	t o p e m	False	0.0			1 7 1 7 4	AXBYN	TUPEM	7	7.T.C 7.U.V 7.P.C 7.E.V 7.M.c	2.0 1.5 1.75 1.3 0.8	topem	0	0	3239-Matacoan	4935
497	Portuguese	Indo-European	drunk	DRUNK	embriagado	embriagado	ẽ b ɾ i a ɡ a d u					7 1 5 7 7 1 7 1 7	XBCYYBYBZ	EPRIAKATY	4	4.E.V 4.P.C 4.R.C 4.I.V 4.A.V 4.K.C 4.A.V 4.T.C 4.Y.V	1.5 1.75 1.5 1.3 1.3 1.75 1.3 1.75 0.8	ẽbɾiaɡadu	0	0	3249-Indo-European	4943
2195	Spanish	Indo-European	drunk	DRUNK	ebrio	ebrio	e β ɾ j o					7 3 5 6 7	XBCCZ	EBRJU	6	6.E.V 6.B.C 6.R.C 6.J.C 6.U.V	1.5 1.75 1.5 1.5 0.8	eβɾjo	0	0	3251-Indo-European	4945
2196	Spanish	Indo-European	drunk	DRUNK	embriagado	embriagado	e m b ɾ j a ɣ a ð o					7 4 1 5 6 7 3 7 3 7	XMBCCYBYBZ	EMPRJAGADU	6	6.E.V 6.M.c 6.P.C 6.R.C 6.J.C 6.A.V 6.G.C 6.A.V 6.D.C 6.U.V	1.5 1.1 1.75 1.5 1.5 1.3 1.75 1.3 1.75 0.8	embɾjaɣaðo	0	0	3249-Indo-European	4943
3884	Yaqui	Uto-Aztecan	drunk	DRUNK	naamukia	naamukia	n aː m u k i a	False	0.0			4 7 4 7 1 7 7	AXBYBYZ	NAMYKIA	8	8.N.C 8.A.V 8.M.C 8.Y.V 8.K.C 8.I.V 8.A.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	naːmukia	0	0	3253-Uto-Aztecan	4947
5305	ZinacantanTzotzil	Mayan	drunk	DRUNK	tzinil	tzinil	tsʰ i n i l	False	0.0			2 7 4 7 5	AXBYN	CINIL	9	9.C.C 9.I.V 9.N.C 9.I.V 9.L.c	2.0 1.5 1.75 1.3 0.8	tsʰinil	0	0	3254-Mayan	4948
6645	Qeqchi	Mayan	drunk	DRUNK	kalajenaq	kalajenaq	k a l a x e n a qʰ	False	0.75	Ch’olan	*kal	1 7 5 7 3 7 4 7 1	AXBYBYBYN	KALAGENAK	5	5.K.C 5.A.V 5.L.C 5.A.V 5.G.C 5.E.V 5.N.C 5.A.V 5.K.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	kalaxenaqʰ	0	0	3250-Mayan	4944
8500	Otomi	Otomanguean	drunk	DRUNK	tixfani	tixfani	t̪ i x f a n i	False	0.0			1 7 3 3 7 4 7	AXMBYBZ	TIGBANI	3	3.T.C 3.I.V 3.G.c 3.B.C 3.A.V 3.N.C 3.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	t̪ixfani	0	0	3248-Otomanguean	4942
8501	Otomi	Otomanguean	drunk	DRUNK	zisei	zisei	z i s e i	False	0.0			3 7 3 7 7	AXBYZ	SISEI	3	3.S.C 3.I.V 3.S.C 3.E.V 3.I.V	2.0 1.5 1.75 1.3 0.8	zisei	0	0	3255-Otomanguean	4950
8502	Otomi	Otomanguean	drunk	DRUNK	mihni	mihni	m i h n i	False	0.0			4 7 3 4 7	AXBCZ	MIHNI	3	3.M.C 3.I.V 3.H.C 3.N.C 3.I.V	2.0 1.5 1.75 1.5 0.8	mihni	0	0	3254-Otomanguean	4949
8503	Otomi	Otomanguean	drunk	DRUNK	nti	nti	n t̪ i	False	0.0			4 1 7	ACZ	NTI	3	3.N.C 3.T.C 3.I.V	2.0 1.5 0.8	nt̪i	0	0	3258-Otomanguean	4951
10517	ImbaburaQuechua	Quechuan	drunk	DRUNK	machashka	machashka	m a tʃ a ʃ k a	False	0.0			4 7 1 7 3 1 7	AXBYMBZ	MATASKA	1	1.M.C 1.A.V 1.T.C 1.A.V 1.S.c 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	matʃaʃka	0	0	3246-Quechuan	4940
11703	Wichi	Matacoan	drunk	DRUNK	w’uknaj	w’uknaj	w ʔ u k n a x	False	0.0			6 1 7 1 4 7 3	ACYBCYN	WHYKNAG	7	7.W.C 7.H.C 7.Y.V 7.K.C 7.N.C 7.A.V 7.G.c	2.0 1.5 1.3 1.75 1.5 1.3 0.8	wʔuknax	0	0	3252-Matacoan	4946
12978	Mapudungun	Araucanian	drunk	DRUNK	ngollin	ngollin	ŋ o ʎ i n	False	0.0			4 7 5 7 4	AXBYN	NULIN	2	2.N.C 2.U.V 2.L.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 0.8	ŋoʎin	0	0	3247-Araucanian	4941
1335	Portuguese	Indo-European	dry	DRY	seco	seco	s e k u					3 7 1 7	AXBZ	SEKY	4	4.S.C 4.E.V 4.K.C 4.Y.V	2.0 1.5 1.75 0.8	seku	0	0	3262-Indo-European	4957
3076	Spanish	Indo-European	dry	DRY	seco	seco	s e k o					3 7 1 7	AXBZ	SEKU	6	6.S.C 6.E.V 6.K.C 6.U.V	2.0 1.5 1.75 0.8	seko	0	0	3262-Indo-European	4957
4608	Yaqui	Uto-Aztecan	dry	DRY	wakia	wakia	w a k i a	False	0.0			6 7 1 7 7	AXBYZ	WAKIA	8	8.W.C 8.A.V 8.K.C 8.I.V 8.A.V	2.0 1.5 1.75 1.3 0.8	wakia	0	0	3266-Uto-Aztecan	4959
