ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_LANGUAGE	SOURCE_VALUE	SOURCE_ID
5013	ZinacantanTzotzil	Mayan	ANCESTORS	7antivo	7antivo	ʔ a n t i v o	Spanish	antiguo			
6295	Qeqchi	Mayan	ANCESTORS	xe’toon	xe’toon	ʃ e ʔ t oː n					
8090	Otomi	Otomanguean	ANCESTORS	mbo̲xita	mbo̲xita	m b ə x i t̪ a					
10273	ImbaburaQuechua	Quechuan	ANCESTORS	ñaupa runakuna	ñaupa_runakuna	ɲ a u p a + ɾ u n a k u n a					
11426	Wichi	Matacoan	ANCESTORS	pajchehen	pajchehen	p a x tʃ e h e n					
12709	Mapudungun	Araucanian	ANCESTORS	kwifike che yem	kwifike_che_yem	k w i f i k e + tʃ e + y e m					
1006	Portuguese	Indo-European	ANCHOR	âncora	âncora	ɐ̃ k u ɾ ɐ					
2723	Spanish	Indo-European	ANCHOR	ancla	ancla	a n k l a					
4315	Yaqui	Uto-Aztecan	ANCHOR	amklam	amklam	a m k l a m	Spanish	ancla			
12053	Wichi	Matacoan	ANCHOR	walku katmek	walku_katmek	w a l k u + k a t m e k	Spanish	barco			
1452	Portuguese	Indo-European	AND	e	e	i					
3210	Spanish	Indo-European	AND	y	y	i					
4703	Yaqui	Uto-Aztecan	AND	into	into	i n t o					
6008	ZinacantanTzotzil	Mayan	AND	7i	7i	ʔ i	Spanish	y			
7707	Qeqchi	Mayan	AND	ut	ut	u tʰ					
9812	Otomi	Otomanguean	AND	ne (3)	ne	n e					
11175	ImbaburaQuechua	Quechuan	AND	-pash	-pash	p a ʃ					
12393	Wichi	Matacoan	AND	wet	wet	w e t					
13662	Mapudungun	Araucanian	AND	ka	ka	k a					
1373	Portuguese	Indo-European	ANGER	raiva	raiva	ʁ ai v ɐ					
1374	Portuguese	Indo-European	ANGER	ira	ira	i ɾ ɐ					
3114	Spanish	Indo-European	ANGER	enojo	enojo	e n o x o					
3115	Spanish	Indo-European	ANGER	ira	ira	i ɾ a					
3116	Spanish	Indo-European	ANGER	rabia	rabia	r a β j a					
4635	Yaqui	Uto-Aztecan	ANGER	omtia	omtia	o m t i a					
5948	ZinacantanTzotzil	Mayan	ANGER	k’ak’al	k’ak’al	kʼ a kʼ a l					
7621	Qeqchi	Mayan	ANGER	waxerk	waxerk	w a ʃ e ɾ kʰ					
7622	Qeqchi	Mayan	ANGER	josq'il	josq'il	x o s qʼ i l					
7623	Qeqchi	Mayan	ANGER	po'jik	po'jik	p o ʔ x i kʰ					
9681	Otomi	Otomanguean	ANGER	(mbo̲)kwe̲	(mbo̲)kwe̲	m b ə kʷ æ					
11115	ImbaburaQuechua	Quechuan	ANGER	fiña (1)	fiña	ɸ i ɲ a					
12331	Wichi	Matacoan	ANGER	tawokwoylhi	tawokwoylhi	t a w o kʷ o j lˠ i					
13600	Mapudungun	Araucanian	ANGER	illkun	illkun	i ʎ k u n					
193	Portuguese	Indo-European	ANIMAL	animal	animal	ɐ n i m au					
194	Portuguese	Indo-European	ANIMAL	bicho	bicho	b i ʃ u					
1877	Spanish	Indo-European	ANIMAL	animal	animal	a n i m a l					
3621	Yaqui	Uto-Aztecan	ANIMAL	animaal	animaal	a n i m aː l	Spanish	animal			
5033	ZinacantanTzotzil	Mayan	ANIMAL	7animal	7animal	ʔ a n i m a l	Spanish	animal			
5034	ZinacantanTzotzil	Mayan	ANIMAL	chanulil	chanulil	tʃʰ a n u l i l					
5035	ZinacantanTzotzil	Mayan	ANIMAL	chon	chon	tʃʰ o n					
6327	Qeqchi	Mayan	ANIMAL	xul	xul	ʃ u l					
8160	Otomi	Otomanguean	ANIMAL	zu'we	zu'we	z u ˀw e					
10298	ImbaburaQuechua	Quechuan	ANIMAL	animal	animal	a n i m a l	Spanish	animal			
11450	Wichi	Matacoan	ANIMAL	tshowet	tshowet	tsʰ o w e t					
12740	Mapudungun	Araucanian	ANIMAL	kulliñ	kulliñ	k u ʎ i ɲ					
383	Portuguese	Indo-European	ANKLE	tornozelo	tornozelo	t o ʁ n o z ɛ l u					
2080	Spanish	Indo-European	ANKLE	tobillo	tobillo	t o β i ʝ o					
3790	Yaqui	Uto-Aztecan	ANKLE	tero’okim	tero’okim	t e r o ʔ o k i m					
5208	ZinacantanTzotzil	Mayan	ANKLE	nuk’ 7okol	nuk’_7okol	n u kʼ + ʔ o k o l					
6526	Qeqchi	Mayan	ANKLE	kux oq	kux_oq	k u ʃ + o qʰ					
6527	Qeqchi	Mayan	ANKLE	xmap oq	xmap_oq	ʃ m a p + o qʰ					
8381	Otomi	Otomanguean	ANKLE	bots'undo'yo wa	bots'undo'yo_wa	b o tsʼ u n d o ˀj o + w a					
10441	ImbaburaQuechua	Quechuan	ANKLE	chaki muku	chaki_muku	tʃ a k i + m u k u					
11622	Wichi	Matacoan	ANKLE	tokasup’a	tokasup’a	t o k a s u p ʔ a					
12894	Mapudungun	Araucanian	ANKLE	pallipalli	pallipalli	p a ʎ i p a ʎ i					
1500	Portuguese	Indo-European	ANNOUNCE	anunciar	anunciar	ɐ n ũ s i a ʁ					
3263	Spanish	Indo-European	ANNOUNCE	anunciar	anunciar	a n u n s j a ɾ					
3264	Spanish	Indo-European	ANNOUNCE	avisar	avisar	a β i s a ɾ					
4749	Yaqui	Uto-Aztecan	ANNOUNCE	anunsiaroa	anunsiaroa	a n u n s i a r o a	Spanish	anunciar			
4750	Yaqui	Uto-Aztecan	ANNOUNCE	tejwa	tejwa	t e j w a					
6056	ZinacantanTzotzil	Mayan	ANNOUNCE	7al	7al	ʔ a l					
7757	Qeqchi	Mayan	ANNOUNCE	esilank	esilank	e s i l a n kʰ					
9906	Otomi	Otomanguean	ANNOUNCE	no̲ni	no̲ni	n ə n i					
9907	Otomi	Otomanguean	ANNOUNCE	bembi	bembi	b e m b i					
11218	ImbaburaQuechua	Quechuan	ANNOUNCE	billana	billana	b i ʒ a n a					
12438	Wichi	Matacoan	ANNOUNCE	ifwelhlhi	ifwelhlhi	i fʷ e l̥ + l̥ i					
13705	Mapudungun	Araucanian	ANNOUNCE	wülzungun	wülzungun	w ɨ l z u ŋ u n					
1488	Portuguese	Indo-European	ANSWER	responder	responder	ʁ e ʃ p õ d e ʁ					
3250	Spanish	Indo-European	ANSWER	contestar	contestar	k o n t ɛ s t a ɾ					
3251	Spanish	Indo-European	ANSWER	responder	responder	r ɛ s p o n d ɛ ɾ					
4738	Yaqui	Uto-Aztecan	ANSWER	yoopna	yoopna	j oː p n a					
6043	ZinacantanTzotzil	Mayan	ANSWER	tak’	tak’	t a kʼ					
7747	Qeqchi	Mayan	ANSWER	chaq'b'enk	chaq'b'enk	tʃ a qʼ ɓ e n kʰ					
7748	Qeqchi	Mayan	ANSWER	sumenk	sumenk	s u m e n kʰ					
9884	Otomi	Otomanguean	ANSWER	thädi	thädi	θ ɐ d i					
9885	Otomi	Otomanguean	ANSWER	thäti	thäti	θ ɐ t̪ i					
9886	Otomi	Otomanguean	ANSWER	kots'i	kots'i	k o tsʼ i					
11208	ImbaburaQuechua	Quechuan	ANSWER	kutichina	kutichina	k u t i tʃ i n a					
12426	Wichi	Matacoan	ANSWER	nichelhu	nichelhu	n i tʃ e lˠ u					
13697	Mapudungun	Araucanian	ANSWER	wiñolzungun	wiñolzungun	w i ɲ o l z u ŋ u n					
285	Portuguese	Indo-European	ANT	formiga	formiga	f o ʁ m i ɡ ɐ					
1980	Spanish	Indo-European	ANT	hormiga	hormiga	o ɾ m i ɣ a					
3696	Yaqui	Uto-Aztecan	ANT	eeye	eeye	eː j e					
5105	ZinacantanTzotzil	Mayan	ANT	shinich	shinich	ʃ i n i tʃʰ					
6414	Qeqchi	Mayan	ANT	sank	sank	s a n kʰ					
8277	Otomi	Otomanguean	ANT	xäju̲	xäju̲	x ɐ x u					
10359	ImbaburaQuechua	Quechuan	ANT	añanku	añanku	a ɲ a ŋ g u					
11524	Wichi	Matacoan	ANT	siwanhas	siwanhas	s i w a n̥ a s					
12807	Mapudungun	Araucanian	ANT	kollella	kollella	k o ʎ e ʎ a					
876	Portuguese	Indo-European	ANVIL	bigorna	bigorna	b i ɡ ɔ ʁ n ɐ					
2586	Spanish	Indo-European	ANVIL	yunque	yunque	ɟ ʝ u n k e					
9009	Otomi	Otomanguean	ANVIL	nt'u̲xu̲bo̲jä	nt'u̲xu̲bo̲jä	n t̪ʼ u x u b ə x ɐ					
1364	Portuguese	Indo-European	ANXIETY	ansiedade	ansiedade	ɐ̃ s i e d a dʒ i					
1365	Portuguese	Indo-European	ANXIETY	preocupação	preocupação	p ɾ i o k u p a s ɐ̃ũ					
3103	Spanish	Indo-European	ANXIETY	ansiedad	ansiedad	a n s j e ð a ð					
3104	Spanish	Indo-European	ANXIETY	angustia	angustia	a n g u s t j a					
3105	Spanish	Indo-European	ANXIETY	preocupación	preocupación	p ɾ e o k u p a s j o n					
4627	Yaqui	Uto-Aztecan	ANXIETY	jiokot ea	jiokot_ea	j i o k o t + e a					
5943	ZinacantanTzotzil	Mayan	ANXIETY	k’op 7o7on	k’op_7o7on	kʼ o p + ʔ o ʔ o n					
7612	Qeqchi	Mayan	ANXIETY	yot'ik	yot'ik	j o tʼ i kʰ					
9673	Otomi	Otomanguean	ANXIETY	dumu̲i	dumu̲i	d u m u i					
11108	ImbaburaQuechua	Quechuan	ANXIETY	llaki	llaki	ʒ a k i					
12323	Wichi	Matacoan	ANXIETY	nitichunlhi	nitichunlhi	n i t i tʃ u n lˠ i					
13593	Mapudungun	Araucanian	ANXIETY	weñangkün	weñangkün	w e ɲ a ŋ k ɨ n					
968	Portuguese	Indo-European	APPROACH	aproximar	aproximar	a p ɾ o s i m a ʁ					
2684	Spanish	Indo-European	APPROACH	acercarse	acercarse	a s ɛ ɾ k a ɾ s e					
2685	Spanish	Indo-European	APPROACH	aproximarse	aproximarse	a p ɾ o k s i m a ɾ s e					
4279	Yaqui	Uto-Aztecan	APPROACH	rukte	rukte	r u k t e					
4280	Yaqui	Uto-Aztecan	APPROACH	rukta	rukta	r u k t a					
5652	ZinacantanTzotzil	Mayan	APPROACH	nopoj	nopoj	n o p o ħ					
7142	Qeqchi	Mayan	APPROACH	haye'k	haye'k	h a j e ʔ kʰ					
7143	Qeqchi	Mayan	APPROACH	nach'o'k	nach'o'k	n a tʃʼ o ʔ kʰ					
7144	Qeqchi	Mayan	APPROACH	jeqonk	jeqonk	x e q o n kʰ					
7145	Qeqchi	Mayan	APPROACH	jiqe'k	jiqe'k	x i q e ʔ kʰ					
