ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	BOR_ID	SOURCE_LANGUAGE	SOURCE_ID
1569	Spanish	Indo-European	ADMIT	admitir	admitir	a ð m i t i ɾ				7 3 4 7 1 7 5	XBCYBYN	ADMITIR	5	5.A.V 5.D.C 5.M.C 5.I.V 5.T.C 5.I.V 5.R.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	aðmitiɾ	0	0		
1570	Spanish	Indo-European	ADMIT	confesar	confesar	k o m f e s a ɾ				1 7 4 3 7 3 7 5	AXMBYBYN	KUMBESAR	5	5.K.C 5.U.V 5.M.c 5.B.C 5.E.V 5.S.C 5.A.V 5.R.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	komfesaɾ	0	29		
1571	Spanish	Indo-European	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ				5 7 1 7 4 7 3 7 5	AXBYBYBYN	REKUNUSER	5	5.R.C 5.E.V 5.K.C 5.U.V 5.N.C 5.U.V 5.S.C 5.E.V 5.R.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	rekonosɛɾ	0	0		
3056	Yaqui	Uto-Aztecan	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a	1.0	Spanish	confesar	1 7 4 1 7 3 7 5 7 7	AXMBYBYBYZ	KUNPESARUA	7	7.K.C 7.U.V 7.N.c 7.P.C 7.E.V 7.S.C 7.A.V 7.R.C 7.U.V 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 1.3 0.8	konpesaroa	0	29	Spanish	1570
4361	ZinacantanTzotzil	Mayan	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l	0.0			3 7 4 7 5 9 1 7 5	AXBYN_AXN	HAMAL_HAL	8	8.H.C 8.A.V 8.M.C 8.A.V 8.L.c 8._._ 8.H.C 8.A.V 8.L.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	hamal+ʔal	0	0		
6066	Qeqchi	Mayan	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l	0.0			3 3 7 4 7 4 1 7 5	ACYBYMBYN	SSYMENKIL	4	4.S.C 4.S.C 4.Y.V 4.M.C 4.E.V 4.N.c 4.K.C 4.I.V 4.L.c	2.0 1.5 1.3 1.75 1.3 1.1 1.75 1.3 0.8	ʃsumenkil	0	0		
8204	Otomi	Otomanguean	ADMIT	hä (2)	hä	h ɐ	0.0			3 7	AX	HE	3	3.H.C 3.E.V	2.0 1.5	hɐ	0	0		
8205	Otomi	Otomanguean	ADMIT	hegi	hegi	h e g i	0.0			3 7 1 7	AXBZ	HEKI	3	3.H.C 3.E.V 3.K.C 3.I.V	2.0 1.5 1.75 0.8	hegi	0	0		
8206	Otomi	Otomanguean	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o	1.0	Spanish	caso	3 7 1 7 9 7 5 9 1 7 3 7	AXBZ_XN_AXBZ	GAPI_AR_KASU	3	3.G.C 3.A.V 3.P.C 3.I.V 3._._ 3.A.V 3.R.c 3._._ 3.K.C 3.A.V 3.S.C 3.U.V	2.0 1.5 1.75 0.8 0.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	xapi+ar+kaso	0	0		
9526	ImbaburaQuechua	Quechuan	ADMIT	ari nina	ari_nina	a ɾ i + n i n a	0.0			7 5 7 9 4 7 4 7	XBZ_AXBZ	ARI_NINA	1	1.A.V 1.R.C 1.I.V 1._._ 1.N.C 1.I.V 1.N.C 1.A.V	1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	aɾi+nina	0	0		
10744	Wichi	Matacoan	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥	0.0			5 7 3 7 5	AXBYN	LIBEL	6	6.L.C 6.I.V 6.B.C 6.E.V 6.L.c	2.0 1.5 1.75 1.3 0.8	lˠifʷel̥	0	0		
742	Spanish	Indo-European	ADOBE	adobe	adobe	a ð o β e				7 3 7 3 7	XBYBZ	ADUBE	5	5.A.V 5.D.C 5.U.V 5.B.C 5.E.V	1.5 1.75 1.3 1.75 0.8	aðoβe	0	36		
2405	Yaqui	Uto-Aztecan	ADOBE	saami	saami	s aː m i	0.0			3 7 4 7	AXBZ	SAMI	7	7.S.C 7.A.V 7.M.C 7.I.V	2.0 1.5 1.75 0.8	saːmi	0	0		
3797	ZinacantanTzotzil	Mayan	ADOBE	shamit	shamit	ʃ a m i tʰ	1.0	Nahuatl	ximi-tl	3 7 4 7 1	AXBYN	SAMIT	8	8.S.C 8.A.V 8.M.C 8.I.V 8.T.c	2.0 1.5 1.75 1.3 0.8	ʃamitʰ	0	0		
5195	Qeqchi	Mayan	ADOBE	xan	xan	ʃ a n	0.0			3 7 4	AXN	SAN	4	4.S.C 4.A.V 4.N.c	2.0 1.5 0.8	ʃan	0	0		
5196	Qeqchi	Mayan	ADOBE	q'ut	q'ut	qʼ u tʰ	0.0			1 7 1	AXN	KYT	4	4.K.C 4.Y.V 4.T.c	2.0 1.5 0.8	qʼutʰ	0	0		
7098	Otomi	Otomanguean	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i	0.0			4 7 3 7 7	AXBYZ	NEHUI	3	3.N.C 3.E.V 3.H.C 3.U.V 3.I.V	2.0 1.5 1.75 1.3 0.8	ɲɐhɔi	0	0		
8988	ImbaburaQuechua	Quechuan	ADOBE	adubi	adubi	a d u b i	1.0	Spanish	adobe	7 1 7 1 7	XBYBZ	ATYPI	1	1.A.V 1.T.C 1.Y.V 1.P.C 1.I.V	1.5 1.75 1.3 1.75 0.8	adubi	0	0		
10182	Wichi	Matacoan	ADOBE	alulis	alulis	a l u l i s	1.0	Spanish	adobe	7 5 7 5 7 3	XBYBYN	ALYLIS	6	6.A.V 6.L.C 6.Y.V 6.L.C 6.I.V 6.S.c	1.5 1.75 1.3 1.75 1.3 0.8	alulis	0	0		
11453	Mapudungun	Araucanian	ADOBE	fazofe	fazofe	f a z o f e	1.0	Spanish	adobe	3 7 3 7 3 7	AXBYBZ	BASUBE	2	2.B.C 2.A.V 2.S.C 2.U.V 2.B.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	fazofe	0	36	Spanish	742
1730	Spanish	Indo-European	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o				7 3 7 5 1 7 5 6 7	XBYMBYBCZ	ADYLTERJU	5	5.A.V 5.D.C 5.Y.V 5.L.c 5.T.C 5.E.V 5.R.C 5.J.C 5.U.V	1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 0.8	aðultɛɾjo	0	0		
3173	Yaqui	Uto-Aztecan	ADULTERY	baita’a	baita’a	b a i t a ʔ a	0.0			1 7 7 1 7 1 7	AXYBYBZ	PAITAHA	7	7.P.C 7.A.V 7.I.V 7.T.C 7.A.V 7.H.C 7.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	baitaʔa	0	0		
6204	Qeqchi	Mayan	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ	0.0			4 7 3 7 1 9 3 7 4 5 7 3 7 1	AXBYN_AXBCYBYN	MYSYK_SYMLAGIK	4	4.M.C 4.Y.V 4.S.C 4.Y.V 4.K.c 4._._ 4.S.C 4.Y.V 4.M.C 4.L.C 4.A.V 4.G.C 4.I.V 4.K.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	muʃuk+sumlaxikʰ	0	0		
6205	Qeqchi	Mayan	ADULTERY	muxuk	muxuk	m u ʃ u kʰ	0.0			4 7 3 7 1	AXBYN	MYSYK	4	4.M.C 4.Y.V 4.S.C 4.Y.V 4.K.c	2.0 1.5 1.75 1.3 0.8	muʃukʰ	0	0		
8429	Otomi	Otomanguean	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i	0.0			4 3 7 1 7 4 3 7 1 7	ACYBYMBYBZ	NDEKYNDETI	3	3.N.C 3.D.C 3.E.V 3.K.C 3.Y.V 3.N.c 3.D.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.3 1.75 1.3 1.1 1.75 1.3 1.75 0.8	nθekunθɐt̪i	0	0		
1109	Spanish	Indo-European	AFTER	después	después	d ɛ s p w e s				1 7 3 1 6 7 3	AXMBCYN	TESPWES	5	5.T.C 5.E.V 5.S.c 5.P.C 5.W.C 5.E.V 5.S.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	dɛspwes	0	52		
2681	Yaqui	Uto-Aztecan	AFTER	chukula	chukula	tʃ u k u l a	0.0			1 7 1 7 5 7	AXBYBZ	TYKYLA	7	7.T.C 7.Y.V 7.K.C 7.Y.V 7.L.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tʃukula	0	0		
5569	Qeqchi	Mayan	AFTER	moqon	moqon	m o q o n	0.0			4 7 1 7 4	AXBYN	MUKUN	4	4.M.C 4.U.V 4.K.C 4.U.V 4.N.c	2.0 1.5 1.75 1.3 0.8	moqon	0	0		
7584	Otomi	Otomanguean	AFTER	‘mefa	‘mefa	ˀm e f a	0.0			4 7 3 7	AXBZ	MEBA	3	3.M.C 3.E.V 3.B.C 3.A.V	2.0 1.5 1.75 0.8	ˀmefa	0	0		
7585	Otomi	Otomanguean	AFTER	gem’bu	gem’bu	g e m ʔ b u	0.0			1 7 4 1 1 7	AXLMBZ	KEMHPY	3	3.K.C 3.E.V 3.M.c 3.H.c 3.P.C 3.Y.V	2.0 1.5 1.1 1.1 1.75 0.8	gemʔbu	0	0		
7586	Otomi	Otomanguean	AFTER	'be̲fa	'be̲fa	ˀb æ f a	0.0			1 7 3 7	AXBZ	PEBA	3	3.P.C 3.E.V 3.B.C 3.A.V	2.0 1.5 1.75 0.8	ˀbæfa	0	0		
9209	ImbaburaQuechua	Quechuan	AFTER	jipa	jipa	x i p a	0.0			3 7 1 7	AXBZ	GIPA	1	1.G.C 1.I.V 1.P.C 1.A.V	2.0 1.5 1.75 0.8	xipa	0	0		
10417	Wichi	Matacoan	AFTER	lapesey	lapesey	l a p e s e j	0.0			5 7 1 7 3 7 6	AXBYBYN	LAPESEJ	6	6.L.C 6.A.V 6.P.C 6.E.V 6.S.C 6.E.V 6.J.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	lapesej	0	0		
11688	Mapudungun	Araucanian	AFTER	fey wüla	fey_wüla	f e y + w ɨ l a	0.0			3 7 7 9 6 7 5 7	AXZ_AXBZ	BEY_WILA	2	2.B.C 2.E.V 2.Y.V 2._._ 2.W.C 2.I.V 2.L.C 2.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	fey+wɨla	0	0		
11689	Mapudungun	Araucanian	AFTER	depwe	depwe	θ e p w e	1.0	Spanish	después	3 7 1 6 7	AXBCZ	DEPWE	2	2.D.C 2.E.V 2.P.C 2.W.C 2.E.V	2.0 1.5 1.75 1.5 0.8	θepwe	0	52	Spanish	1109
1309	Spanish	Indo-European	AFTERNOON	tarde	tarde	t a ɾ ð e				1 7 5 3 7	AXMBZ	TARDE	5	5.T.C 5.A.V 5.R.c 5.D.C 5.E.V	2.0 1.5 1.1 1.75 0.8	taɾðe	0	0		
2857	Yaqui	Uto-Aztecan	AFTERNOON	kupteo	kupteo	k u p t e o	0.0			1 7 1 1 7 7	AXMBYZ	KYPTEU	7	7.K.C 7.Y.V 7.P.c 7.T.C 7.E.V 7.U.V	2.0 1.5 1.1 1.75 1.3 0.8	kupteo	0	0		
4177	ZinacantanTzotzil	Mayan	AFTERNOON	shmal	shmal	ʃ m a l	0.0			3 4 7 5	ACXN	SMAL	8	8.S.C 8.M.C 8.A.V 8.L.c	2.0 1.5 1.5 0.8	ʃmal	0	0		
5807	Qeqchi	Mayan	AFTERNOON	ewu	ewu	e w u	0.0			7 6 7	XBZ	EWY	4	4.E.V 4.W.C 4.Y.V	1.5 1.75 0.8	ewu	0	0		
7840	Otomi	Otomanguean	AFTERNOON	nde	nde	n d e	0.0			4 1 7	ACZ	NTE	3	3.N.C 3.T.C 3.E.V	2.0 1.5 0.8	nde	0	0		
9341	ImbaburaQuechua	Quechuan	AFTERNOON	chishi	chishi	tʃ i ʃ i	0.0			1 7 3 7	AXBZ	TISI	1	1.T.C 1.I.V 1.S.C 1.I.V	2.0 1.5 1.75 0.8	tʃiʃi	0	0		
10554	Wichi	Matacoan	AFTERNOON	hunaj	hunaj	h u n a x	0.0			3 7 4 7 3	AXBYN	HYNAG	6	6.H.C 6.Y.V 6.N.C 6.A.V 6.G.c	2.0 1.5 1.75 1.3 0.8	hunax	0	0		
11833	Mapudungun	Araucanian	AFTERNOON	rupan antü	rupan_antü	ɻ u p a n + a n t ɨ	0.0			5 7 1 7 4 9 7 4 1 7	AXBYN_XMBZ	RYPAN_ANTI	2	2.R.C 2.Y.V 2.P.C 2.A.V 2.N.c 2._._ 2.A.V 2.N.c 2.T.C 2.I.V	2.0 1.5 1.75 1.3 0.8 0.0 1.5 1.1 1.75 0.8	ɻupan+antɨ	0	0		
1262	Spanish	Indo-European	AGE	edad	edad	e ð a ð				7 3 7 3	XBYN	EDAD	5	5.E.V 5.D.C 5.A.V 5.D.c	1.5 1.75 1.3 0.8	eðað	0	0		
2815	Yaqui	Uto-Aztecan	AGE	wasuktia	wasuktia	w a s u k t i a	0.0			6 7 3 7 1 1 7 7	AXBYMBYZ	WASYKTIA	7	7.W.C 7.A.V 7.S.C 7.Y.V 7.K.c 7.T.C 7.I.V 7.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	wasuktia	0	0		
4146	ZinacantanTzotzil	Mayan	AGE	ch’iel	ch’iel	tʃʼ i e l	0.0			1 7 7 5	AXYN	TIEL	8	8.T.C 8.I.V 8.E.V 8.L.c	2.0 1.5 1.3 0.8	tʃʼiel	0	0		
5760	Qeqchi	Mayan	AGE	xchi hab’	xchi_hab’	ʃ tʃ i + h a ɓ	0.0			3 1 7 9 3 7 1	ACZ_AXN	STI_HAP	4	4.S.C 4.T.C 4.I.V 4._._ 4.H.C 4.A.V 4.P.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	ʃtʃi+haɓ	0	0		
7786	Otomi	Otomanguean	AGE	je̲ya	je̲ya	x æ j a	0.0			3 7 6 7	AXBZ	GEJA	3	3.G.C 3.E.V 3.J.C 3.A.V	2.0 1.5 1.75 0.8	xæja	0	0		
10530	Wichi	Matacoan	AGE	nekchom	nekchom	n e k tʃ o m	0.0			4 7 1 1 7 4	AXMBYN	NEKTUM	6	6.N.C 6.E.V 6.K.c 6.T.C 6.U.V 6.M.c	2.0 1.5 1.1 1.75 1.3 0.8	nektʃom	0	0		
10531	Wichi	Matacoan	AGE	anio	anio	a n i o	1.0	Spanish	año	7 4 7 7	XBYZ	ANIU	6	6.A.V 6.N.C 6.I.V 6.U.V	1.5 1.75 1.3 0.8	anio	0	0		
11804	Mapudungun	Araucanian	AGE	tripantu	tripantu	ʈʂ i p a n t u	0.0			2 7 1 7 4 1 7	AXBYMBZ	CIPANTY	2	2.C.C 2.I.V 2.P.C 2.A.V 2.N.c 2.T.C 2.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	ʈʂipantu	0	0		
74	Spanish	Indo-European	AIR	aire	aire	a i ɾ e				7 7 5 7	XYBZ	AIRE	5	5.A.V 5.I.V 5.R.C 5.E.V	1.5 1.3 1.75 0.8	aiɾe	0	0		
1824	Yaqui	Uto-Aztecan	AIR	jeeka	jeeka	j eː k a	0.0			6 7 1 7	AXBZ	JEKA	7	7.J.C 7.E.V 7.K.C 7.A.V	2.0 1.5 1.75 0.8	jeːka	0	0		
3261	ZinacantanTzotzil	Mayan	AIR	7ik’	7ik’	ʔ i kʼ	0.0			1 7 1	AXN	HIK	8	8.H.C 8.I.V 8.K.c	2.0 1.5 0.8	ʔikʼ	0	0		
4527	Qeqchi	Mayan	AIR	iq’	iq’	i qʼ	0.0			7 1	XN	IK	4	4.I.V 4.K.c	1.5 0.8	iqʼ	0	0		
6310	Otomi	Otomanguean	AIR	ndähi	ndähi	n d ɐ h i	0.0			4 1 7 3 7	ACYBZ	NTEHI	3	3.N.C 3.T.C 3.E.V 3.H.C 3.I.V	2.0 1.5 1.3 1.75 0.8	ndɐhi	0	0		
8526	ImbaburaQuechua	Quechuan	AIR	samay	samay	s a m a j	0.0			3 7 4 7 6	AXBYN	SAMAJ	1	1.S.C 1.A.V 1.M.C 1.A.V 1.J.c	2.0 1.5 1.75 1.3 0.8	samaj	0	0		
9684	Wichi	Matacoan	AIR	layalh	layalh	l a j a l̥	0.5			5 7 6 7 5	AXBYN	LAJAL	6	6.L.C 6.A.V 6.J.C 6.A.V 6.L.c	2.0 1.5 1.75 1.3 0.8	lajal̥	0	0		
10923	Mapudungun	Araucanian	AIR	kürüf	kürüf	k ɨ ɻ ɨ f	0.0			1 7 5 7 3	AXBYN	KIRIB	2	2.K.C 2.I.V 2.R.C 2.I.V 2.B.c	2.0 1.5 1.75 1.3 0.8	kɨɻɨf	0	0		
610	Spanish	Indo-European	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e β i ð a + f ɛ ɾ m e n t a ð a				1 7 3 7 3 7 9 3 7 5 4 7 4 1 7 3 7	AXBYBZ_AXMBYMBYBZ	PEBIDA_BERMENTADA	5	5.P.C 5.E.V 5.B.C 5.I.V 5.D.C 5.A.V 5._._ 5.B.C 5.E.V 5.R.c 5.M.C 5.E.V 5.N.c 5.T.C 5.A.V 5.D.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.1 1.75 1.3 1.1 1.75 1.3 1.75 0.8	beβiða+fɛɾmentaða	0	0		
2291	Yaqui	Uto-Aztecan	ALCOHOL (FERMENTED DRINK)	ba’ajipo’okoim	ba’ajipo’okoim	b a ʔ a j i p o ʔ o k o i m	0.0			1 7 1 7 6 7 1 7 1 7 1 7 7 4	AXBYBYBYBYBYYN	PAHAJIPUHUKUIM	7	7.P.C 7.A.V 7.H.C 7.A.V 7.J.C 7.I.V 7.P.C 7.U.V 7.H.C 7.U.V 7.K.C 7.U.V 7.I.V 7.M.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.3 0.8	baʔajipoʔokoim	0	0		
5074	Qeqchi	Mayan	ALCOHOL (FERMENTED DRINK)	b’oj	b’oj	ɓ o x	0.0			1 7 3	AXN	PUG	4	4.P.C 4.U.V 4.G.c	2.0 1.5 0.8	ɓox	0	0		
