ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_ID_	SOURCE_SCORE_	SOURCE_ID
4523	Yaqui	Uto-Aztecan	ALWAYS	chikti	chikti	tʃ i k t i			2976	0.8354	
5848	ZinacantanTzotzil	Mayan	ALWAYS	sempre	sempre	s e m p ɾ e	Spanish	siempre	2976	0.1077	2976
7479	Qeqchi	Mayan	ALWAYS	junelik	junelik	x u n e l i kʰ			2976	0.7839	
9506	Otomi	Otomanguean	ALWAYS	zäntho	zäntho	z ɐ n θ o			2976	0.6369	
9507	Otomi	Otomanguean	ALWAYS	(n)zäm'bu̲	(n)zäm'bu̲	n z ɐ m ˀb u			2976	0.3776	
11014	ImbaburaQuechua	Quechuan	ALWAYS	simpri	simpri	s i m b ɾ i	Spanish	siempre	2976	0.1441	2976
13504	Mapudungun	Araucanian	ALWAYS	rumel	rumel	ɻ u m e l			2976	0.7154	
1605	Portuguese	Indo-European	AMBUSH	emboscada	emboscada	ẽ b o ʃ k a d ɐ					
3372	Spanish	Indo-European	AMBUSH	acechar	acechar	a s e tʃ a ɾ					
3373	Spanish	Indo-European	AMBUSH	emboscar	emboscar	e m b o s k a ɾ					
4820	Yaqui	Uto-Aztecan	AMBUSH	bo’o yejteria	bo’o_yejteria	b o ʔ o + j e j t e r i a			3372	0.6793	
10052	Otomi	Otomanguean	AMBUSH	nt’ä	nt’ä	n t̪ʼ ɐ			3372	0.8022	
10053	Otomi	Otomanguean	AMBUSH	nu (3)	nu	n u			3372	1.0038	
13754	Mapudungun	Araucanian	AMBUSH	lloftun	lloftun	ʎ o f t u n			3372	0.6826	
159	Portuguese	Indo-European	ANCESTORS	antepassados	antepassados	ɐ̃ t e p a s a d u ʃ					
160	Portuguese	Indo-European	ANCESTORS	ancestrais	ancestrais	ɐ̃ s e ʃ t ɾ ai ʃ					
1839	Spanish	Indo-European	ANCESTORS	antepasados	antepasados	a n t e p a s a ð o s					
3594	Yaqui	Uto-Aztecan	ANCESTORS	yo’owe ~ yoowe	yo’owe	j o ʔ o w e			1839	0.8071	
5013	ZinacantanTzotzil	Mayan	ANCESTORS	7antivo	7antivo	ʔ a n t i v o	Spanish	antiguo	1839	0.5231	
6295	Qeqchi	Mayan	ANCESTORS	xe’toon	xe’toon	ʃ e ʔ t oː n			1839	0.7624	
8090	Otomi	Otomanguean	ANCESTORS	mbo̲xita	mbo̲xita	m b ə x i t̪ a			1839	0.6005	
10273	ImbaburaQuechua	Quechuan	ANCESTORS	ñaupa runakuna	ñaupa_runakuna	ɲ a u p a + ɾ u n a k u n a			1839	0.7631	
11426	Wichi	Matacoan	ANCESTORS	pajchehen	pajchehen	p a x tʃ e h e n			1839	0.6656	
12709	Mapudungun	Araucanian	ANCESTORS	kwifike che yem	kwifike_che_yem	k w i f i k e + tʃ e + y e m			1839	0.8643	
1006	Portuguese	Indo-European	ANCHOR	âncora	âncora	ɐ̃ k u ɾ ɐ					
2723	Spanish	Indo-European	ANCHOR	ancla	ancla	a n k l a					
4315	Yaqui	Uto-Aztecan	ANCHOR	amklam	amklam	a m k l a m	Spanish	ancla	2723	0.3453	
12053	Wichi	Matacoan	ANCHOR	walku katmek	walku_katmek	w a l k u + k a t m e k	Spanish	barco	2723	0.7941	
1452	Portuguese	Indo-European	AND	e	e	i					
3210	Spanish	Indo-European	AND	y	y	i					
4703	Yaqui	Uto-Aztecan	AND	into	into	i n t o			3210	0.8066	
6008	ZinacantanTzotzil	Mayan	AND	7i	7i	ʔ i	Spanish	y	3210	0.5615	
7707	Qeqchi	Mayan	AND	ut	ut	u tʰ			3210	0.6385	
9812	Otomi	Otomanguean	AND	ne (3)	ne	n e			3210	0.6615	
11175	ImbaburaQuechua	Quechuan	AND	-pash	-pash	p a ʃ			3210	0.8000	
12393	Wichi	Matacoan	AND	wet	wet	w e t			3210	0.8000	
13662	Mapudungun	Araucanian	AND	ka	ka	k a			3210	0.6615	
1373	Portuguese	Indo-European	ANGER	raiva	raiva	ʁ ai v ɐ					
1374	Portuguese	Indo-European	ANGER	ira	ira	i ɾ ɐ					
3114	Spanish	Indo-European	ANGER	enojo	enojo	e n o x o					
3115	Spanish	Indo-European	ANGER	ira	ira	i ɾ a					
3116	Spanish	Indo-European	ANGER	rabia	rabia	r a β j a					
4635	Yaqui	Uto-Aztecan	ANGER	omtia	omtia	o m t i a			3115	0.7538	
5948	ZinacantanTzotzil	Mayan	ANGER	k’ak’al	k’ak’al	kʼ a kʼ a l			3114	0.7169	
7621	Qeqchi	Mayan	ANGER	waxerk	waxerk	w a ʃ e ɾ kʰ			3114	0.7339	
7622	Qeqchi	Mayan	ANGER	josq'il	josq'il	x o s qʼ i l			3114	0.7701	
7623	Qeqchi	Mayan	ANGER	po'jik	po'jik	p o ʔ x i kʰ			3114	0.7339	
9681	Otomi	Otomanguean	ANGER	(mbo̲)kwe̲	(mbo̲)kwe̲	m b ə kʷ æ			3114	0.6615	
11115	ImbaburaQuechua	Quechuan	ANGER	fiña (1)	fiña	ɸ i ɲ a			3114	0.5325	
12331	Wichi	Matacoan	ANGER	tawokwoylhi	tawokwoylhi	t a w o kʷ o j lˠ i			3116	0.6566	
13600	Mapudungun	Araucanian	ANGER	illkun	illkun	i ʎ k u n			3115	0.6590	
193	Portuguese	Indo-European	ANIMAL	animal	animal	ɐ n i m au					
194	Portuguese	Indo-European	ANIMAL	bicho	bicho	b i ʃ u					
1877	Spanish	Indo-European	ANIMAL	animal	animal	a n i m a l					
3621	Yaqui	Uto-Aztecan	ANIMAL	animaal	animaal	a n i m aː l	Spanish	animal	1877	0.0000	1877
5033	ZinacantanTzotzil	Mayan	ANIMAL	7animal	7animal	ʔ a n i m a l	Spanish	animal	1877	0.1123	1877
5034	ZinacantanTzotzil	Mayan	ANIMAL	chanulil	chanulil	tʃʰ a n u l i l			1877	0.3523	
5035	ZinacantanTzotzil	Mayan	ANIMAL	chon	chon	tʃʰ o n			1877	0.7692	
6327	Qeqchi	Mayan	ANIMAL	xul	xul	ʃ u l			1877	0.7066	
8160	Otomi	Otomanguean	ANIMAL	zu'we	zu'we	z u ˀw e			1877	0.8769	
10298	ImbaburaQuechua	Quechuan	ANIMAL	animal	animal	a n i m a l	Spanish	animal	1877	0.0000	1877
11450	Wichi	Matacoan	ANIMAL	tshowet	tshowet	tsʰ o w e t			1877	0.8769	
12740	Mapudungun	Araucanian	ANIMAL	kulliñ	kulliñ	k u ʎ i ɲ			1877	0.8407	
383	Portuguese	Indo-European	ANKLE	tornozelo	tornozelo	t o ʁ n o z ɛ l u					
2080	Spanish	Indo-European	ANKLE	tobillo	tobillo	t o β i ʝ o					
3790	Yaqui	Uto-Aztecan	ANKLE	tero’okim	tero’okim	t e r o ʔ o k i m			2080	0.5739	
5208	ZinacantanTzotzil	Mayan	ANKLE	nuk’ 7okol	nuk’_7okol	n u kʼ + ʔ o k o l			2080	0.8846	
6526	Qeqchi	Mayan	ANKLE	kux oq	kux_oq	k u ʃ + o qʰ			2080	0.7928	
6527	Qeqchi	Mayan	ANKLE	xmap oq	xmap_oq	ʃ m a p + o qʰ			2080	0.8745	
8381	Otomi	Otomanguean	ANKLE	bots'undo'yo wa	bots'undo'yo_wa	b o tsʼ u n d o ˀj o + w a			2080	0.7787	
10441	ImbaburaQuechua	Quechuan	ANKLE	chaki muku	chaki_muku	tʃ a k i + m u k u			2080	0.7275	
11622	Wichi	Matacoan	ANKLE	tokasup’a	tokasup’a	t o k a s u p ʔ a			2080	0.4702	
12894	Mapudungun	Araucanian	ANKLE	pallipalli	pallipalli	p a ʎ i p a ʎ i			2080	0.7172	
1500	Portuguese	Indo-European	ANNOUNCE	anunciar	anunciar	ɐ n ũ s i a ʁ					
3263	Spanish	Indo-European	ANNOUNCE	anunciar	anunciar	a n u n s j a ɾ					
3264	Spanish	Indo-European	ANNOUNCE	avisar	avisar	a β i s a ɾ					
4749	Yaqui	Uto-Aztecan	ANNOUNCE	anunsiaroa	anunsiaroa	a n u n s i a r o a	Spanish	anunciar	3263	0.1778	3263
4750	Yaqui	Uto-Aztecan	ANNOUNCE	tejwa	tejwa	t e j w a			3263	0.7736	
6056	ZinacantanTzotzil	Mayan	ANNOUNCE	7al	7al	ʔ a l			3264	0.7242	
7757	Qeqchi	Mayan	ANNOUNCE	esilank	esilank	e s i l a n kʰ			3264	0.6708	
9906	Otomi	Otomanguean	ANNOUNCE	no̲ni	no̲ni	n ə n i			3263	0.5854	
9907	Otomi	Otomanguean	ANNOUNCE	bembi	bembi	b e m b i			3264	0.7638	
11218	ImbaburaQuechua	Quechuan	ANNOUNCE	billana	billana	b i ʒ a n a			3264	0.5162	
12438	Wichi	Matacoan	ANNOUNCE	ifwelhlhi	ifwelhlhi	i fʷ e l̥ + l̥ i			3264	0.5983	
13705	Mapudungun	Araucanian	ANNOUNCE	wülzungun	wülzungun	w ɨ l z u ŋ u n			3264	0.6671	
1488	Portuguese	Indo-European	ANSWER	responder	responder	ʁ e ʃ p õ d e ʁ					
3250	Spanish	Indo-European	ANSWER	contestar	contestar	k o n t ɛ s t a ɾ					
3251	Spanish	Indo-European	ANSWER	responder	responder	r ɛ s p o n d ɛ ɾ					
4738	Yaqui	Uto-Aztecan	ANSWER	yoopna	yoopna	j oː p n a			3251	0.6281	
6043	ZinacantanTzotzil	Mayan	ANSWER	tak’	tak’	t a kʼ			3250	0.8446	
7747	Qeqchi	Mayan	ANSWER	chaq'b'enk	chaq'b'enk	tʃ a qʼ ɓ e n kʰ			3251	0.6217	
7748	Qeqchi	Mayan	ANSWER	sumenk	sumenk	s u m e n kʰ			3251	0.7711	
9884	Otomi	Otomanguean	ANSWER	thädi	thädi	θ ɐ d i			3250	0.6549	
9885	Otomi	Otomanguean	ANSWER	thäti	thäti	θ ɐ t̪ i			3250	0.6549	
9886	Otomi	Otomanguean	ANSWER	kots'i	kots'i	k o tsʼ i			3250	0.5282	
11208	ImbaburaQuechua	Quechuan	ANSWER	kutichina	kutichina	k u t i tʃ i n a			3250	0.4108	
12426	Wichi	Matacoan	ANSWER	nichelhu	nichelhu	n i tʃ e lˠ u			3250	0.5782	
13697	Mapudungun	Araucanian	ANSWER	wiñolzungun	wiñolzungun	w i ɲ o l z u ŋ u n			3251	0.6759	
285	Portuguese	Indo-European	ANT	formiga	formiga	f o ʁ m i ɡ ɐ					
1980	Spanish	Indo-European	ANT	hormiga	hormiga	o ɾ m i ɣ a					
3696	Yaqui	Uto-Aztecan	ANT	eeye	eeye	eː j e			1980	0.8308	
