ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_LANGUAGE	SOURCE_ID
8414	Otomi	Otomanguean	ACCUSE	ka̲ts'i	ka̲ts'i	k ɔ tsʼ i	0.0				
8415	Otomi	Otomanguean	ACCUSE	mämbi	mämbi	m ɐ m b i	0.0				
9606	ImbaburaQuechua	Quechuan	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a	0.0				
10833	Wichi	Matacoan	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x	0.0				
12083	Mapudungun	Araucanian	ACCUSE	zallun	zallun	z a ʎ u n	0.0				
804	Spanish	Indo-European	ACORN	bellota	bellota	b e ʝ o t a					
3827	ZinacantanTzotzil	Mayan	ACORN	chochob	chochob	tʃʰ o tʃʰ o b	0.0				
5246	Qeqchi	Mayan	ACORN	ru ji	ru_ji	r u + x i	0.0				
7166	Otomi	Otomanguean	ACORN	ro	ro	r o	0.0				
1721	Spanish	Indo-European	ACQUIT	absolver	absolver	a β s o l β ɛ ɾ					
1722	Spanish	Indo-European	ACQUIT	exculpar	exculpar	ɛ k s k u l p a ɾ					
3165	Yaqui	Uto-Aztecan	ACQUIT	kulpata a u’ura	kulpata_a_u’ura	k u l p a t a + a + u ʔ u r a	0.0				
6196	Qeqchi	Mayan	ACQUIT	kuyuk maak	kuyuk_maak	k u j u k + m aː kʰ	0.0				
8419	Otomi	Otomanguean	ACQUIT	puni	puni	p u n i	0.0				
9608	ImbaburaQuechua	Quechuan	ACQUIT	kishpichina	kishpichina	k i ʃ p i tʃ i n a	0.0				
10834	Wichi	Matacoan	ACQUIT	tip’alhtsen	tip’alhtsen	t i p ʔ a lˠ ts e n	0.0				
1708	Spanish	Indo-European	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ					
3152	Yaqui	Uto-Aztecan	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a	1.0	Spanish	juzgar	Spanish	1708
6182	Qeqchi	Mayan	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n	0.0				
8402	Otomi	Otomanguean	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i	0.0				
1569	Spanish	Indo-European	ADMIT	admitir	admitir	a ð m i t i ɾ					
1570	Spanish	Indo-European	ADMIT	confesar	confesar	k o m f e s a ɾ					
1571	Spanish	Indo-European	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ					
3056	Yaqui	Uto-Aztecan	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a	1.0	Spanish	confesar	Spanish	1570
4361	ZinacantanTzotzil	Mayan	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l	0.0				
6066	Qeqchi	Mayan	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l	0.0				
8204	Otomi	Otomanguean	ADMIT	hä (2)	hä	h ɐ	0.0				
8205	Otomi	Otomanguean	ADMIT	hegi	hegi	h e g i	0.0				
8206	Otomi	Otomanguean	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o	1.0	Spanish	caso		
9526	ImbaburaQuechua	Quechuan	ADMIT	ari nina	ari_nina	a ɾ i + n i n a	0.0				
10744	Wichi	Matacoan	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥	0.0				
742	Spanish	Indo-European	ADOBE	adobe	adobe	a ð o β e					
2405	Yaqui	Uto-Aztecan	ADOBE	saami	saami	s aː m i	0.0				
3797	ZinacantanTzotzil	Mayan	ADOBE	shamit	shamit	ʃ a m i tʰ	1.0	Nahuatl	ximi-tl		
5195	Qeqchi	Mayan	ADOBE	xan	xan	ʃ a n	0.0				
5196	Qeqchi	Mayan	ADOBE	q'ut	q'ut	qʼ u tʰ	0.0				
7098	Otomi	Otomanguean	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i	0.0				
8988	ImbaburaQuechua	Quechuan	ADOBE	adubi	adubi	a d u b i	1.0	Spanish	adobe	Spanish	742
10182	Wichi	Matacoan	ADOBE	alulis	alulis	a l u l i s	1.0	Spanish	adobe		
11453	Mapudungun	Araucanian	ADOBE	fazofe	fazofe	f a z o f e	1.0	Spanish	adobe	Spanish	742
1730	Spanish	Indo-European	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o					
3173	Yaqui	Uto-Aztecan	ADULTERY	baita’a	baita’a	b a i t a ʔ a	0.0				
6204	Qeqchi	Mayan	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ	0.0				
6205	Qeqchi	Mayan	ADULTERY	muxuk	muxuk	m u ʃ u kʰ	0.0				
8429	Otomi	Otomanguean	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i	0.0				
861	Spanish	Indo-European	ADZE	azuela	azuela	a s w e l a					
9059	ImbaburaQuechua	Quechuan	ADZE	aswila	aswila	a s w i l a	1.0	Spanish	azuela	Spanish	861
1109	Spanish	Indo-European	AFTER	después	después	d ɛ s p w e s					
2681	Yaqui	Uto-Aztecan	AFTER	chukula	chukula	tʃ u k u l a	0.0				
5569	Qeqchi	Mayan	AFTER	moqon	moqon	m o q o n	0.0				
7584	Otomi	Otomanguean	AFTER	‘mefa	‘mefa	ˀm e f a	0.0				
7585	Otomi	Otomanguean	AFTER	gem’bu	gem’bu	g e m ʔ b u	0.0				
7586	Otomi	Otomanguean	AFTER	'be̲fa	'be̲fa	ˀb æ f a	0.0				
9209	ImbaburaQuechua	Quechuan	AFTER	jipa	jipa	x i p a	0.0				
10417	Wichi	Matacoan	AFTER	lapesey	lapesey	l a p e s e j	0.0				
11688	Mapudungun	Araucanian	AFTER	fey wüla	fey_wüla	f e y + w ɨ l a	0.0				
11689	Mapudungun	Araucanian	AFTER	depwe	depwe	θ e p w e	1.0	Spanish	después	Spanish	1109
1309	Spanish	Indo-European	AFTERNOON	tarde	tarde	t a ɾ ð e					
2857	Yaqui	Uto-Aztecan	AFTERNOON	kupteo	kupteo	k u p t e o	0.0				
4177	ZinacantanTzotzil	Mayan	AFTERNOON	shmal	shmal	ʃ m a l	0.0				
5807	Qeqchi	Mayan	AFTERNOON	ewu	ewu	e w u	0.0				
7840	Otomi	Otomanguean	AFTERNOON	nde	nde	n d e	0.0				
9341	ImbaburaQuechua	Quechuan	AFTERNOON	chishi	chishi	tʃ i ʃ i	0.0			Spanish	1309
10554	Wichi	Matacoan	AFTERNOON	hunaj	hunaj	h u n a x	0.0				
11833	Mapudungun	Araucanian	AFTERNOON	rupan antü	rupan_antü	ɻ u p a n + a n t ɨ	0.0				
1301	Spanish	Indo-European	AGAIN	otra vez	otra_vez	o t ɾ a + β e s					
1302	Spanish	Indo-European	AGAIN	de nuevo	de_nuevo	d e + n w e β o					
2849	Yaqui	Uto-Aztecan	AGAIN	intuchia	intuchia	i n t u tʃ i a	0.0				
2850	Yaqui	Uto-Aztecan	AGAIN	juchia	juchia	j u tʃ i a	0.0				
4171	ZinacantanTzotzil	Mayan	AGAIN	noshtok	noshtok	n o ʃ t o k	0.0				
5802	Qeqchi	Mayan	AGAIN	wi' chik	wi'_chik	w i ʔ + tʃ i kʰ	0.0				
7833	Otomi	Otomanguean	AGAIN	ma n’agi	ma_n’agi	m a + n ʔ a g i	0.0				
9337	ImbaburaQuechua	Quechuan	AGAIN	kutin	kutin	k u t i ŋ	0.0				
10549	Wichi	Matacoan	AGAIN	yip	yip	y i p	0.0				
11828	Mapudungun	Araucanian	AGAIN	ka wiño	ka_wiño	k a + w i ɲ o	0.0				
1262	Spanish	Indo-European	AGE	edad	edad	e ð a ð					
2815	Yaqui	Uto-Aztecan	AGE	wasuktia	wasuktia	w a s u k t i a	0.0				
4146	ZinacantanTzotzil	Mayan	AGE	ch’iel	ch’iel	tʃʼ i e l	0.0				
5760	Qeqchi	Mayan	AGE	xchi hab’	xchi_hab’	ʃ tʃ i + h a ɓ	0.0				
7786	Otomi	Otomanguean	AGE	je̲ya	je̲ya	x æ j a	0.0				
10530	Wichi	Matacoan	AGE	nekchom	nekchom	n e k tʃ o m	0.0				
10531	Wichi	Matacoan	AGE	anio	anio	a n i o	1.0	Spanish	año		
11804	Mapudungun	Araucanian	AGE	tripantu	tripantu	ʈʂ i p a n t u	0.0				
74	Spanish	Indo-European	AIR	aire	aire	a i ɾ e					
1824	Yaqui	Uto-Aztecan	AIR	jeeka	jeeka	j eː k a	0.0				
3261	ZinacantanTzotzil	Mayan	AIR	7ik’	7ik’	ʔ i kʼ	0.0				
4527	Qeqchi	Mayan	AIR	iq’	iq’	i qʼ	0.0				
6310	Otomi	Otomanguean	AIR	ndähi	ndähi	n d ɐ h i	0.0				
8526	ImbaburaQuechua	Quechuan	AIR	samay	samay	s a m a j	0.0				
9684	Wichi	Matacoan	AIR	layalh	layalh	l a j a l̥	0.5				
10923	Mapudungun	Araucanian	AIR	kürüf	kürüf	k ɨ ɻ ɨ f	0.0				
610	Spanish	Indo-European	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e β i ð a + f ɛ ɾ m e n t a ð a					
2291	Yaqui	Uto-Aztecan	ALCOHOL (FERMENTED DRINK)	ba’ajipo’okoim	ba’ajipo’okoim	b a ʔ a j i p o ʔ o k o i m	0.0				
5074	Qeqchi	Mayan	ALCOHOL (FERMENTED DRINK)	b’oj	b’oj	ɓ o x	0.0				
5075	Qeqchi	Mayan	ALCOHOL (FERMENTED DRINK)	ani (2)	ani	a n i	0.0				
6939	Otomi	Otomanguean	ALCOHOL (FERMENTED DRINK)	sei	sei	s e i	0.0				
8907	ImbaburaQuechua	Quechuan	ALCOHOL (FERMENTED DRINK)	asua	asua	a s u a	0.0				
10091	Wichi	Matacoan	ALCOHOL (FERMENTED DRINK)	hat’es	hat’es	h a t ʔ e s	0.0				
1236	Spanish	Indo-European	ALL	cada	cada	k a ð a					
1237	Spanish	Indo-European	ALL	todo	todo	t o ð o					
2794	Yaqui	Uto-Aztecan	ALL	si’ime (2)	si’ime	s i ʔ i m e	0.0				
4130	ZinacantanTzotzil	Mayan	ALL	kotol	kotol	k o t o l	0.0			Spanish	1236
4131	ZinacantanTzotzil	Mayan	ALL	labal	labal	l a ɓ a l	0.0				
5717	Qeqchi	Mayan	ALL	chi junil	chi_junil	tʃ i + x u n i l	0.0				
5718	Qeqchi	Mayan	ALL	anchal	anchal	a n tʃ a l	0.0				
5719	Qeqchi	Mayan	ALL	rek’	rek’	r e kʼ	0.0				
7743	Otomi	Otomanguean	ALL	ga̲tho	ga̲tho	g ɔ θ o	0.0			Spanish	1236
7744	Otomi	Otomanguean	ALL	kadu̲	kadu̲	k a d u	1.0	Spanish	cada	Spanish	1236
7745	Otomi	Otomanguean	ALL	ta̲t’i	ta̲t’i	t̪ ɔ t̪ʼ i	0.0			Spanish	1237
9296	ImbaburaQuechua	Quechuan	ALL	tukuy	tukuy	t u k u j	0.0				
10513	Wichi	Matacoan	ALL	nufwu	nufwu	n u fʷ u	0.0				
11781	Mapudungun	Araucanian	ALL	kom	kom	k o m	0.0				
1629	Spanish	Indo-European	ALLOW OR PERMIT	permitir	permitir	p ɛ ɾ m i t i ɾ					
1630	Spanish	Indo-European	ALLOW OR PERMIT	dejar	dejar	d e x a ɾ					
1740	Spanish	Indo-European	ALTAR	altar	altar	a l t a ɾ					
3182	Yaqui	Uto-Aztecan	ALTAR	altaar	altaar	a l t aː r	1.0	Spanish	altar	Spanish	1740
4445	ZinacantanTzotzil	Mayan	ALTAR	7altal	7altal	ʔ a l t a l	1.0	Spanish	altar	Spanish	1740
6215	Qeqchi	Mayan	ALTAR	artal	artal	a ɾ t a l	1.0	Spanish	altar	Spanish	1740
8442	Otomi	Otomanguean	ALTAR	ntsaya jwä	ntsaya_jwä	n ts a j a + xʷ ɐ	0.0				
8443	Otomi	Otomanguean	ALTAR	tsita	tsita	ts i t̪ a	0.0				
8444	Otomi	Otomanguean	ALTAR	ata	ata	a t̪ a	1.0	Spanish	altar		
9622	ImbaburaQuechua	Quechuan	ALTAR	altar	altar	a l t a ɾ	1.0	Spanish	altar	Spanish	1740
10843	Wichi	Matacoan	ALTAR	altal	altal	a l t a l	1.0	Spanish	altar	Spanish	1740
1293	Spanish	Indo-European	ALWAYS	siempre	siempre	s j e m p ɾ e					
2839	Yaqui	Uto-Aztecan	ALWAYS	jiba	jiba	j i b a	0.0				
2840	Yaqui	Uto-Aztecan	ALWAYS	chikti	chikti	tʃ i k t i	0.0				
4165	ZinacantanTzotzil	Mayan	ALWAYS	sempre	sempre	s e m p ɾ e	1.0	Spanish	siempre	Spanish	1293
5796	Qeqchi	Mayan	ALWAYS	junelik	junelik	x u n e l i kʰ	0.0				
7823	Otomi	Otomanguean	ALWAYS	zäntho	zäntho	z ɐ n θ o	0.0				
7824	Otomi	Otomanguean	ALWAYS	(n)zäm'bu̲	(n)zäm'bu̲	n z ɐ m ˀb u	0.0			Spanish	1293
9331	ImbaburaQuechua	Quechuan	ALWAYS	simpri	simpri	s i m b ɾ i	1.0	Spanish	siempre	Spanish	1293
11821	Mapudungun	Araucanian	ALWAYS	rumel	rumel	ɻ u m e l	0.0				
1689	Spanish	Indo-European	AMBUSH	acechar	acechar	a s e tʃ a ɾ					
1690	Spanish	Indo-European	AMBUSH	emboscar	emboscar	e m b o s k a ɾ					
3137	Yaqui	Uto-Aztecan	AMBUSH	bo’o yejteria	bo’o_yejteria	b o ʔ o + j e j t e r i a	0.0				
8369	Otomi	Otomanguean	AMBUSH	nt’ä	nt’ä	n t̪ʼ ɐ	0.0				
8370	Otomi	Otomanguean	AMBUSH	nu (3)	nu	n u	0.0				
12071	Mapudungun	Araucanian	AMBUSH	lloftun	lloftun	ʎ o f t u n	0.0				
156	Spanish	Indo-European	ANCESTORS	antepasados	antepasados	a n t e p a s a ð o s					
1911	Yaqui	Uto-Aztecan	ANCESTORS	yo’owe ~ yoowe	yo’owe	j o ʔ o w e	0.0				
3330	ZinacantanTzotzil	Mayan	ANCESTORS	7antivo	7antivo	ʔ a n t i v o	1.0	Spanish	antiguo		
4612	Qeqchi	Mayan	ANCESTORS	xe’toon	xe’toon	ʃ e ʔ t oː n	0.0				
6407	Otomi	Otomanguean	ANCESTORS	mbo̲xita	mbo̲xita	m b ə x i t̪ a	0.0				
8590	ImbaburaQuechua	Quechuan	ANCESTORS	ñaupa runakuna	ñaupa_runakuna	ɲ a u p a + ɾ u n a k u n a	0.0				
9743	Wichi	Matacoan	ANCESTORS	pajchehen	pajchehen	p a x tʃ e h e n	0.0				
11026	Mapudungun	Araucanian	ANCESTORS	kwifike che yem	kwifike_che_yem	k w i f i k e + tʃ e + y e m	0.0				
1040	Spanish	Indo-European	ANCHOR	ancla	ancla	a n k l a					
2632	Yaqui	Uto-Aztecan	ANCHOR	amklam	amklam	a m k l a m	1.0	Spanish	ancla	Spanish	1040
10370	Wichi	Matacoan	ANCHOR	walku katmek	walku_katmek	w a l k u + k a t m e k	1.0	Spanish	barco		
1527	Spanish	Indo-European	AND	y	y	i					
3020	Yaqui	Uto-Aztecan	AND	into	into	i n t o	0.0				
4325	ZinacantanTzotzil	Mayan	AND	7i	7i	ʔ i	0.5				
6024	Qeqchi	Mayan	AND	ut	ut	u tʰ	0.0				
8129	Otomi	Otomanguean	AND	ne (3)	ne	n e	0.0				
9492	ImbaburaQuechua	Quechuan	AND	-pash	-pash	p a ʃ	0.0				
10710	Wichi	Matacoan	AND	wet	wet	w e t	0.0				
11979	Mapudungun	Araucanian	AND	ka	ka	k a	0.0				
1431	Spanish	Indo-European	ANGER	enojo	enojo	e n o x o					
1432	Spanish	Indo-European	ANGER	ira	ira	i ɾ a					
1433	Spanish	Indo-European	ANGER	rabia	rabia	r a β j a					
2952	Yaqui	Uto-Aztecan	ANGER	omtia	omtia	o m t i a	0.0				
4265	ZinacantanTzotzil	Mayan	ANGER	k’ak’al	k’ak’al	kʼ a kʼ a l	0.0				
5938	Qeqchi	Mayan	ANGER	waxerk	waxerk	w a ʃ e ɾ kʰ	0.0				
5939	Qeqchi	Mayan	ANGER	josq'il	josq'il	x o s qʼ i l	0.0				
5940	Qeqchi	Mayan	ANGER	po'jik	po'jik	p o ʔ x i kʰ	0.0				
7998	Otomi	Otomanguean	ANGER	(mbo̲)kwe̲	(mbo̲)kwe̲	m b ə kʷ æ	0.0				
9432	ImbaburaQuechua	Quechuan	ANGER	fiña (1)	fiña	ɸ i ɲ a	0.0				
10648	Wichi	Matacoan	ANGER	tawokwoylhi	tawokwoylhi	t a w o kʷ o j lˠ i	0.0				
11917	Mapudungun	Araucanian	ANGER	illkun	illkun	i ʎ k u n	0.0				
194	Spanish	Indo-European	ANIMAL	animal	animal	a n i m a l					
1938	Yaqui	Uto-Aztecan	ANIMAL	animaal	animaal	a n i m aː l	1.0	Spanish	animal	Spanish	194
3350	ZinacantanTzotzil	Mayan	ANIMAL	7animal	7animal	ʔ a n i m a l	1.0	Spanish	animal	Spanish	194
3351	ZinacantanTzotzil	Mayan	ANIMAL	chanulil	chanulil	tʃʰ a n u l i l	0.0			Spanish	194
3352	ZinacantanTzotzil	Mayan	ANIMAL	chon	chon	tʃʰ o n	0.0				
4644	Qeqchi	Mayan	ANIMAL	xul	xul	ʃ u l	0.0				
6477	Otomi	Otomanguean	ANIMAL	zu'we	zu'we	z u ˀw e	0.0				
8615	ImbaburaQuechua	Quechuan	ANIMAL	animal	animal	a n i m a l	1.0	Spanish	animal	Spanish	194
9767	Wichi	Matacoan	ANIMAL	tshowet	tshowet	tsʰ o w e t	0.0				
11057	Mapudungun	Araucanian	ANIMAL	kulliñ	kulliñ	k u ʎ i ɲ	0.0				
397	Spanish	Indo-European	ANKLE	tobillo	tobillo	t o β i ʝ o					
2107	Yaqui	Uto-Aztecan	ANKLE	tero’okim	tero’okim	t e r o ʔ o k i m	0.0				
3525	ZinacantanTzotzil	Mayan	ANKLE	nuk’ 7okol	nuk’_7okol	n u kʼ + ʔ o k o l	0.0				
4843	Qeqchi	Mayan	ANKLE	kux oq	kux_oq	k u ʃ + o qʰ	0.0				
4844	Qeqchi	Mayan	ANKLE	xmap oq	xmap_oq	ʃ m a p + o qʰ	0.0				
6698	Otomi	Otomanguean	ANKLE	bots'undo'yo wa	bots'undo'yo_wa	b o tsʼ u n d o ˀj o + w a	0.0				
8758	ImbaburaQuechua	Quechuan	ANKLE	chaki muku	chaki_muku	tʃ a k i + m u k u	0.0				
9939	Wichi	Matacoan	ANKLE	tokasup’a	tokasup’a	t o k a s u p ʔ a	0.0				
11211	Mapudungun	Araucanian	ANKLE	pallipalli	pallipalli	p a ʎ i p a ʎ i	0.0				
1580	Spanish	Indo-European	ANNOUNCE	anunciar	anunciar	a n u n s j a ɾ					
1581	Spanish	Indo-European	ANNOUNCE	avisar	avisar	a β i s a ɾ					
3066	Yaqui	Uto-Aztecan	ANNOUNCE	anunsiaroa	anunsiaroa	a n u n s i a r o a	1.0	Spanish	anunciar	Spanish	1580
3067	Yaqui	Uto-Aztecan	ANNOUNCE	tejwa	tejwa	t e j w a	0.0				
4373	ZinacantanTzotzil	Mayan	ANNOUNCE	7al	7al	ʔ a l	0.0				
6074	Qeqchi	Mayan	ANNOUNCE	esilank	esilank	e s i l a n kʰ	0.0				
8223	Otomi	Otomanguean	ANNOUNCE	no̲ni	no̲ni	n ə n i	0.0				
8224	Otomi	Otomanguean	ANNOUNCE	bembi	bembi	b e m b i	0.0				
9535	ImbaburaQuechua	Quechuan	ANNOUNCE	billana	billana	b i ʒ a n a	0.0				
10755	Wichi	Matacoan	ANNOUNCE	ifwelhlhi	ifwelhlhi	i fʷ e l̥ + l̥ i	0.0				
12022	Mapudungun	Araucanian	ANNOUNCE	wülzungun	wülzungun	w ɨ l z u ŋ u n	0.0				
1567	Spanish	Indo-European	ANSWER	contestar	contestar	k o n t ɛ s t a ɾ					
1568	Spanish	Indo-European	ANSWER	responder	responder	r ɛ s p o n d ɛ ɾ					
3055	Yaqui	Uto-Aztecan	ANSWER	yoopna	yoopna	j oː p n a	0.0				
4360	ZinacantanTzotzil	Mayan	ANSWER	tak’	tak’	t a kʼ	0.0				
6064	Qeqchi	Mayan	ANSWER	chaq'b'enk	chaq'b'enk	tʃ a qʼ ɓ e n kʰ	0.0				
6065	Qeqchi	Mayan	ANSWER	sumenk	sumenk	s u m e n kʰ	0.0				
8201	Otomi	Otomanguean	ANSWER	thädi	thädi	θ ɐ d i	0.0				
8202	Otomi	Otomanguean	ANSWER	thäti	thäti	θ ɐ t̪ i	0.0				
8203	Otomi	Otomanguean	ANSWER	kots'i	kots'i	k o tsʼ i	0.0				
9525	ImbaburaQuechua	Quechuan	ANSWER	kutichina	kutichina	k u t i tʃ i n a	0.0				
10743	Wichi	Matacoan	ANSWER	nichelhu	nichelhu	n i tʃ e lˠ u	0.0				
12014	Mapudungun	Araucanian	ANSWER	wiñolzungun	wiñolzungun	w i ɲ o l z u ŋ u n	0.0				
297	Spanish	Indo-European	ANT	hormiga	hormiga	o ɾ m i ɣ a					
2013	Yaqui	Uto-Aztecan	ANT	eeye	eeye	eː j e	0.0				
3422	ZinacantanTzotzil	Mayan	ANT	shinich	shinich	ʃ i n i tʃʰ	0.0				
4731	Qeqchi	Mayan	ANT	sank	sank	s a n kʰ	0.0				
6594	Otomi	Otomanguean	ANT	xäju̲	xäju̲	x ɐ x u	0.0				
8676	ImbaburaQuechua	Quechuan	ANT	añanku	añanku	a ɲ a ŋ g u	0.0				
9841	Wichi	Matacoan	ANT	siwanhas	siwanhas	s i w a n̥ a s	0.0				
11124	Mapudungun	Araucanian	ANT	kollella	kollella	k o ʎ e ʎ a	0.0				
903	Spanish	Indo-European	ANVIL	yunque	yunque	ɟ ʝ u n k e					
7326	Otomi	Otomanguean	ANVIL	nt'u̲xu̲bo̲jä	nt'u̲xu̲bo̲jä	n t̪ʼ u x u b ə x ɐ	0.0				
1420	Spanish	Indo-European	ANXIETY	ansiedad	ansiedad	a n s j e ð a ð					
1421	Spanish	Indo-European	ANXIETY	angustia	angustia	a n g u s t j a					
1422	Spanish	Indo-European	ANXIETY	preocupación	preocupación	p ɾ e o k u p a s j o n					
2944	Yaqui	Uto-Aztecan	ANXIETY	jiokot ea	jiokot_ea	j i o k o t + e a	0.0				
4260	ZinacantanTzotzil	Mayan	ANXIETY	k’op 7o7on	k’op_7o7on	kʼ o p + ʔ o ʔ o n	0.0				
5929	Qeqchi	Mayan	ANXIETY	yot'ik	yot'ik	j o tʼ i kʰ	0.0				
7990	Otomi	Otomanguean	ANXIETY	dumu̲i	dumu̲i	d u m u i	0.0				
9425	ImbaburaQuechua	Quechuan	ANXIETY	llaki	llaki	ʒ a k i	0.0				
10640	Wichi	Matacoan	ANXIETY	nitichunlhi	nitichunlhi	n i t i tʃ u n lˠ i	0.0				
11910	Mapudungun	Araucanian	ANXIETY	weñangkün	weñangkün	w e ɲ a ŋ k ɨ n	0.0				
1001	Spanish	Indo-European	APPROACH	acercarse	acercarse	a s ɛ ɾ k a ɾ s e					
1002	Spanish	Indo-European	APPROACH	aproximarse	aproximarse	a p ɾ o k s i m a ɾ s e					
2596	Yaqui	Uto-Aztecan	APPROACH	rukte	rukte	r u k t e	0.0				
2597	Yaqui	Uto-Aztecan	APPROACH	rukta	rukta	r u k t a	0.0				
3969	ZinacantanTzotzil	Mayan	APPROACH	nopoj	nopoj	n o p o ħ	0.0				
5459	Qeqchi	Mayan	APPROACH	haye'k	haye'k	h a j e ʔ kʰ	0.0				
5460	Qeqchi	Mayan	APPROACH	nach'o'k	nach'o'k	n a tʃʼ o ʔ kʰ	0.0				
5461	Qeqchi	Mayan	APPROACH	jeqonk	jeqonk	x e q o n kʰ	0.0				
5462	Qeqchi	Mayan	APPROACH	jiqe'k	jiqe'k	x i q e ʔ kʰ	0.0				
5463	Qeqchi	Mayan	APPROACH	jilonk	jilonk	x i l o n kʰ	0.0				
7459	Otomi	Otomanguean	APPROACH	kwat'i	kwat'i	kʷ a t̪ʼ i	0.0				
9145	ImbaburaQuechua	Quechuan	APPROACH	kayllayana	kayllayana	k a j ʒ a j a n a	0.0				
10342	Wichi	Matacoan	APPROACH	yomwhoye	yomwhoye	y o m w̥ o j e	0.0				
11622	Mapudungun	Araucanian	APPROACH	fülkonün	fülkonün	f ɨ l k o n ɨ n	0.0				
11623	Mapudungun	Araucanian	APPROACH	püllekonün	püllekonün	p ɨ ʎ e k o n ɨ n	0.0				
737	Spanish	Indo-European	ARCH	arco	arco	a ɾ k o					
2401	Yaqui	Uto-Aztecan	ARCH	arko	arko	a r k o	1.0	Spanish	arco	Spanish	737
3794	ZinacantanTzotzil	Mayan	ARCH	7alku7	7alku7	ʔ a l k u ʔ	1.0	Spanish	arco		
5192	Qeqchi	Mayan	ARCH	arko	arko	a ɾ k o	1.0	Spanish	arco	Spanish	737
7090	Otomi	Otomanguean	ARCH	nsä'mi	nsä'mi	ⁿs ɐ ˀm i	0.0				
7091	Otomi	Otomanguean	ARCH	arko	arko	a r k o	1.0	Spanish	arco	Spanish	737
8985	ImbaburaQuechua	Quechuan	ARCH	arku	arku	a ɾ k u	1.0	Spanish	arco	Spanish	737
380	Spanish	Indo-European	ARM	brazo	brazo	b ɾ a s o					
2091	Yaqui	Uto-Aztecan	ARM	mamam	mamam	m a m a m	0.0				
3505	ZinacantanTzotzil	Mayan	ARM	k’obol	k’obol	kʼ o ɓ o l	0.0				
4827	Qeqchi	Mayan	ARM	tel	tel	t e l	0.0				
6681	Otomi	Otomanguean	ARM	'ye̲	'ye̲	ˀj æ	0.0				
