ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SOURCE_LANGUAGE	SOURCE_ID	DET_STATUS
1716	Spanish	Indo-European	ACCUSE	acusar	acusar	a k u s a ɾ				7 1 7 3 7 5	XBYBYN	AKYSAR	5	5.A.V 5.K.C 5.Y.V 5.S.C 5.A.V 5.R.c	1.5 1.75 1.3 1.75 1.3 0.8	akusaɾ	0			
1717	Spanish	Indo-European	ACCUSE	denunciar	denunciar	d e n u n s j a ɾ				1 7 4 7 4 3 6 7 5	AXBYMBCYN	TENYNSJAR	5	5.T.C 5.E.V 5.N.C 5.Y.V 5.N.c 5.S.C 5.J.C 5.A.V 5.R.c	2.0 1.5 1.75 1.3 1.1 1.75 1.5 1.3 0.8	denunsjaɾ	0			
3161	Yaqui	Uto-Aztecan	ACCUSE	jiku’ubwa	jiku’ubwa	j i k u ʔ u bʷ a	0.0			6 7 1 7 1 7 1 7	AXBYBYBZ	JIKYHYPA	7	7.J.C 7.I.V 7.K.C 7.Y.V 7.H.C 7.Y.V 7.P.C 7.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	jikuʔubʷa	0			tn
3162	Yaqui	Uto-Aztecan	ACCUSE	yeu bwise	yeu_bwise	j e u + bʷ i s e	0.0			6 7 7 9 1 7 3 7	AXZ_AXBZ	JEY_PISE	7	7.J.C 7.E.V 7.Y.V 7._._ 7.P.C 7.I.V 7.S.C 7.E.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	jeu+bʷise	0			tn
6191	Qeqchi	Mayan	ACCUSE	jitok	jitok	x i t o kʰ	0.0			3 7 1 7 1	AXBYN	GITUK	4	4.G.C 4.I.V 4.T.C 4.U.V 4.K.c	2.0 1.5 1.75 1.3 0.8	xitokʰ	0			tn
8414	Otomi	Otomanguean	ACCUSE	ka̲ts'i	ka̲ts'i	k ɔ tsʼ i	0.0			1 7 1 7	AXBZ	KUTI	3	3.K.C 3.U.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	kɔtsʼi	0			tn
8415	Otomi	Otomanguean	ACCUSE	mämbi	mämbi	m ɐ m b i	0.0			4 7 4 1 7	AXMBZ	MEMPI	3	3.M.C 3.E.V 3.M.c 3.P.C 3.I.V	2.0 1.5 1.1 1.75 0.8	mɐmbi	0			tn
9606	ImbaburaQuechua	Quechuan	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a	0.0			3 7 1 7 1 7 4 7	AXBYBYBZ	GYTATINA	1	1.G.C 1.Y.V 1.T.C 1.A.V 1.T.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	xutʃatʃina	0			tn
10833	Wichi	Matacoan	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x	0.0			1 7 2 7 3 7 4 7 3	AXBYBYBYN	TICEBANAG	6	6.T.C 6.I.V 6.C.C 6.E.V 6.B.C 6.A.V 6.N.C 6.A.V 6.G.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	titsefʷanax	0			tn
12083	Mapudungun	Araucanian	ACCUSE	zallun	zallun	z a ʎ u n	0.0			3 7 5 7 4	AXBYN	SALYN	2	2.S.C 2.A.V 2.L.C 2.Y.V 2.N.c	2.0 1.5 1.75 1.3 0.8	zaʎun	0			tn
804	Spanish	Indo-European	ACORN	bellota	bellota	b e ʝ o t a				1 7 3 7 1 7	AXBYBZ	PESUTA	5	5.P.C 5.E.V 5.S.C 5.U.V 5.T.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	beʝota	0			
3827	ZinacantanTzotzil	Mayan	ACORN	chochob	chochob	tʃʰ o tʃʰ o b	0.0			1 7 1 7 1	AXBYN	TUTUP	8	8.T.C 8.U.V 8.T.C 8.U.V 8.P.c	2.0 1.5 1.75 1.3 0.8	tʃʰotʃʰob	0			tn
5246	Qeqchi	Mayan	ACORN	ru ji	ru_ji	r u + x i	0.0			5 7 9 3 7	AX_AX	RY_GI	4	4.R.C 4.Y.V 4._._ 4.G.C 4.I.V	2.0 1.5 0.0 2.0 1.5	ru+xi	0			tn
7166	Otomi	Otomanguean	ACORN	ro	ro	r o	0.0			5 7	AX	RU	3	3.R.C 3.U.V	2.0 1.5	ro	0			tn
1721	Spanish	Indo-European	ACQUIT	absolver	absolver	a β s o l β ɛ ɾ				7 3 3 7 5 3 7 5	XMBYMBYN	ABSULBER	5	5.A.V 5.B.c 5.S.C 5.U.V 5.L.c 5.B.C 5.E.V 5.R.c	1.5 1.1 1.75 1.3 1.1 1.75 1.3 0.8	aβsolβɛɾ	0			
1722	Spanish	Indo-European	ACQUIT	exculpar	exculpar	ɛ k s k u l p a ɾ				7 1 3 1 7 5 1 7 5	XBYBYMBYN	EKSKYLPAR	5	5.E.V 5.K.C 5.S.V 5.K.C 5.Y.V 5.L.c 5.P.C 5.A.V 5.R.c	1.5 1.75 1.3 1.75 1.3 1.1 1.75 1.3 0.8	ɛkskulpaɾ	0			
3165	Yaqui	Uto-Aztecan	ACQUIT	kulpata a u’ura	kulpata_a_u’ura	k u l p a t a + a + u ʔ u r a	0.0			1 7 5 1 7 1 7 9 7 9 7 1 7 5 7	AXMBYBZ_X_XBYBZ	KYLPATA_A_YHYRA	7	7.K.C 7.Y.V 7.L.c 7.P.C 7.A.V 7.T.C 7.A.V 7._._ 7.A.V 7._._ 7.Y.V 7.H.C 7.Y.V 7.R.C 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8 0.0 1.5 0.0 1.5 1.75 1.3 1.75 0.8	kulpata+a+uʔura	0			tn
6196	Qeqchi	Mayan	ACQUIT	kuyuk maak	kuyuk_maak	k u j u k + m aː kʰ	0.0			1 7 6 7 1 9 4 7 1	AXBYN_AXN	KYJYK_MAK	4	4.K.C 4.Y.V 4.J.C 4.Y.V 4.K.c 4._._ 4.M.C 4.A.V 4.K.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	kujuk+maːkʰ	1			tn
8419	Otomi	Otomanguean	ACQUIT	puni	puni	p u n i	0.0			1 7 4 7	AXBZ	PYNI	3	3.P.C 3.Y.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8	puni	1			tn
9608	ImbaburaQuechua	Quechuan	ACQUIT	kishpichina	kishpichina	k i ʃ p i tʃ i n a	0.0			1 7 3 1 7 1 7 4 7	AXMBYBYBZ	KISPITINA	1	1.K.C 1.I.V 1.S.c 1.P.C 1.I.V 1.T.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	kiʃpitʃina	1			tn
10834	Wichi	Matacoan	ACQUIT	tip’alhtsen	tip’alhtsen	t i p ʔ a lˠ ts e n	0.0			1 7 1 1 7 5 2 7 4	AXMBYMBYN	TIPHALCEN	6	6.T.C 6.I.V 6.P.c 6.H.C 6.A.V 6.L.c 6.C.C 6.E.V 6.N.c	2.0 1.5 1.1 1.75 1.3 1.1 1.75 1.3 0.8	tipʔalˠtsen	0			tn
1708	Spanish	Indo-European	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ				3 7 3 3 7 5	AXMBYN	GYSGAR	5	5.G.C 5.Y.V 5.S.c 5.G.C 5.A.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	xusɣaɾ	0			
3152	Yaqui	Uto-Aztecan	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a	1.0	Spanish	juzgar	6 7 3 1 7 5 7 7	AXMBYBYZ	JYSKARUA	7	7.J.C 7.Y.V 7.S.c 7.K.C 7.A.V 7.R.C 7.U.V 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	juskaroa	0	Spanish	1708	tp
6182	Qeqchi	Mayan	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n	0.0			5 7 1 7 1 9 7 1 7 4	AXBYN_XBYN	RAKUK_ATIN	4	4.R.C 4.A.V 4.K.C 4.U.V 4.K.c 4._._ 4.A.V 4.T.C 4.I.V 4.N.c	2.0 1.5 1.75 1.3 0.8 0.0 1.5 1.75 1.3 0.8	raqok+aːtin	0			tn
8402	Otomi	Otomanguean	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i	0.0			7 1 7 1 7 1 7 1 7	XBYBYBYBZ	ETYTYTYPI	3	3.E.V 3.T.C 3.Y.V 3.T.C 3.Y.V 3.T.C 3.Y.V 3.P.C 3.I.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	ət̪ʼutsʼut̪ʼubi	0			tn
1569	Spanish	Indo-European	ADMIT	admitir	admitir	a ð m i t i ɾ				7 3 4 7 1 7 5	XBCYBYN	ADMITIR	5	5.A.V 5.D.C 5.M.C 5.I.V 5.T.C 5.I.V 5.R.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	aðmitiɾ	0			
1570	Spanish	Indo-European	ADMIT	confesar	confesar	k o m f e s a ɾ				1 7 4 3 7 3 7 5	AXMBYBYN	KUMBESAR	5	5.K.C 5.U.V 5.M.c 5.B.C 5.E.V 5.S.C 5.A.V 5.R.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	komfesaɾ	0			
1571	Spanish	Indo-European	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ				5 7 1 7 4 7 3 7 5	AXBYBYBYN	REKUNUSER	5	5.R.C 5.E.V 5.K.C 5.U.V 5.N.C 5.U.V 5.S.C 5.E.V 5.R.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	rekonosɛɾ	0			
3056	Yaqui	Uto-Aztecan	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a	1.0	Spanish	confesar	1 7 4 1 7 3 7 5 7 7	AXMBYBYBYZ	KUNPESARUA	7	7.K.C 7.U.V 7.N.c 7.P.C 7.E.V 7.S.C 7.A.V 7.R.C 7.U.V 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 1.3 0.8	konpesaroa	0	Spanish	1570	tp
4361	ZinacantanTzotzil	Mayan	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l	0.0			3 7 4 7 5 9 1 7 5	AXBYN_AXN	HAMAL_HAL	8	8.H.C 8.A.V 8.M.C 8.A.V 8.L.c 8._._ 8.H.C 8.A.V 8.L.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	hamal+ʔal	0			tn
6066	Qeqchi	Mayan	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l	0.0			3 3 7 4 7 4 1 7 5	ACYBYMBYN	SSYMENKIL	4	4.S.C 4.S.C 4.Y.V 4.M.C 4.E.V 4.N.c 4.K.C 4.I.V 4.L.c	2.0 1.5 1.3 1.75 1.3 1.1 1.75 1.3 0.8	ʃsumenkil	0			tn
8204	Otomi	Otomanguean	ADMIT	hä (2)	hä	h ɐ	0.0			3 7	AX	HE	3	3.H.C 3.E.V	2.0 1.5	hɐ	1			tn
8205	Otomi	Otomanguean	ADMIT	hegi	hegi	h e g i	0.0			3 7 1 7	AXBZ	HEKI	3	3.H.C 3.E.V 3.K.C 3.I.V	2.0 1.5 1.75 0.8	hegi	1			tn
8206	Otomi	Otomanguean	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o	1.0	Spanish	caso	3 7 1 7 9 7 5 9 1 7 3 7	AXBZ_XN_AXBZ	GAPI_AR_KASU	3	3.G.C 3.A.V 3.P.C 3.I.V 3._._ 3.A.V 3.R.c 3._._ 3.K.C 3.A.V 3.S.C 3.U.V	2.0 1.5 1.75 0.8 0.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	xapi+ar+kaso	0			fn
9526	ImbaburaQuechua	Quechuan	ADMIT	ari nina	ari_nina	a ɾ i + n i n a	0.0			7 5 7 9 4 7 4 7	XBZ_AXBZ	ARI_NINA	1	1.A.V 1.R.C 1.I.V 1._._ 1.N.C 1.I.V 1.N.C 1.A.V	1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	aɾi+nina	0			tn
10744	Wichi	Matacoan	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥	0.0			5 7 3 7 5	AXBYN	LIBEL	6	6.L.C 6.I.V 6.B.C 6.E.V 6.L.c	2.0 1.5 1.75 1.3 0.8	lˠifʷel̥	0			tn
742	Spanish	Indo-European	ADOBE	adobe	adobe	a ð o β e				7 3 7 3 7	XBYBZ	ADUBE	5	5.A.V 5.D.C 5.U.V 5.B.C 5.E.V	1.5 1.75 1.3 1.75 0.8	aðoβe	0			
2405	Yaqui	Uto-Aztecan	ADOBE	saami	saami	s aː m i	0.0			3 7 4 7	AXBZ	SAMI	7	7.S.C 7.A.V 7.M.C 7.I.V	2.0 1.5 1.75 0.8	saːmi	0			tn
3797	ZinacantanTzotzil	Mayan	ADOBE	shamit	shamit	ʃ a m i tʰ	1.0	Nahuatl	ximi-tl	3 7 4 7 1	AXBYN	SAMIT	8	8.S.C 8.A.V 8.M.C 8.I.V 8.T.c	2.0 1.5 1.75 1.3 0.8	ʃamitʰ	0			tn
5195	Qeqchi	Mayan	ADOBE	xan	xan	ʃ a n	0.0			3 7 4	AXN	SAN	4	4.S.C 4.A.V 4.N.c	2.0 1.5 0.8	ʃan	1			tn
5196	Qeqchi	Mayan	ADOBE	q'ut	q'ut	qʼ u tʰ	0.0			1 7 1	AXN	KYT	4	4.K.C 4.Y.V 4.T.c	2.0 1.5 0.8	qʼutʰ	0			tn
7098	Otomi	Otomanguean	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i	0.0			4 7 3 7 7	AXBYZ	NEHUI	3	3.N.C 3.E.V 3.H.C 3.U.V 3.I.V	2.0 1.5 1.75 1.3 0.8	ɲɐhɔi	0			tn
8988	ImbaburaQuechua	Quechuan	ADOBE	adubi	adubi	a d u b i	1.0	Spanish	adobe	7 1 7 1 7	XBYBZ	ATYPI	1	1.A.V 1.T.C 1.Y.V 1.P.C 1.I.V	1.5 1.75 1.3 1.75 0.8	adubi	0			fn
10182	Wichi	Matacoan	ADOBE	alulis	alulis	a l u l i s	1.0	Spanish	adobe	7 5 7 5 7 3	XBYBYN	ALYLIS	6	6.A.V 6.L.C 6.Y.V 6.L.C 6.I.V 6.S.c	1.5 1.75 1.3 1.75 1.3 0.8	alulis	1			fn
11453	Mapudungun	Araucanian	ADOBE	fazofe	fazofe	f a z o f e	1.0	Spanish	adobe	3 7 3 7 3 7	AXBYBZ	BASUBE	2	2.B.C 2.A.V 2.S.C 2.U.V 2.B.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	fazofe	0	Spanish	742	tp
1730	Spanish	Indo-European	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o				7 3 7 5 1 7 5 6 7	XBYMBYBCZ	ADYLTERJU	5	5.A.V 5.D.C 5.Y.V 5.L.c 5.T.C 5.E.V 5.R.C 5.J.C 5.U.V	1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 0.8	aðultɛɾjo	0			
3173	Yaqui	Uto-Aztecan	ADULTERY	baita’a	baita’a	b a i t a ʔ a	0.0			1 7 7 1 7 1 7	AXYBYBZ	PAITAHA	7	7.P.C 7.A.V 7.I.V 7.T.C 7.A.V 7.H.C 7.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	baitaʔa	1			tn
6204	Qeqchi	Mayan	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ	0.0			4 7 3 7 1 9 3 7 4 5 7 3 7 1	AXBYN_AXBCYBYN	MYSYK_SYMLAGIK	4	4.M.C 4.Y.V 4.S.C 4.Y.V 4.K.c 4._._ 4.S.C 4.Y.V 4.M.C 4.L.C 4.A.V 4.G.C 4.I.V 4.K.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	muʃuk+sumlaxikʰ	0			tn
6205	Qeqchi	Mayan	ADULTERY	muxuk	muxuk	m u ʃ u kʰ	0.0			4 7 3 7 1	AXBYN	MYSYK	4	4.M.C 4.Y.V 4.S.C 4.Y.V 4.K.c	2.0 1.5 1.75 1.3 0.8	muʃukʰ	0			tn
8429	Otomi	Otomanguean	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i	0.0			4 3 7 1 7 4 3 7 1 7	ACYBYMBYBZ	NDEKYNDETI	3	3.N.C 3.D.C 3.E.V 3.K.C 3.Y.V 3.N.c 3.D.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.3 1.75 1.3 1.1 1.75 1.3 1.75 0.8	nθekunθɐt̪i	0			tn
861	Spanish	Indo-European	ADZE	azuela	azuela	a s w e l a				7 3 6 7 5 7	XBCYBZ	ASWELA	5	5.A.V 5.S.C 5.W.C 5.E.V 5.L.C 5.A.V	1.5 1.75 1.5 1.3 1.75 0.8	aswela	0			
9059	ImbaburaQuechua	Quechuan	ADZE	aswila	aswila	a s w i l a	1.0	Spanish	azuela	7 3 6 7 5 7	XBCYBZ	ASWILA	1	1.A.V 1.S.C 1.W.C 1.I.V 1.L.C 1.A.V	1.5 1.75 1.5 1.3 1.75 0.8	aswila	0	Spanish	861	tp
1109	Spanish	Indo-European	AFTER	después	después	d ɛ s p w e s				1 7 3 1 6 7 3	AXMBCYN	TESPWES	5	5.T.C 5.E.V 5.S.c 5.P.C 5.W.C 5.E.V 5.S.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	dɛspwes	0			
2681	Yaqui	Uto-Aztecan	AFTER	chukula	chukula	tʃ u k u l a	0.0			1 7 1 7 5 7	AXBYBZ	TYKYLA	7	7.T.C 7.Y.V 7.K.C 7.Y.V 7.L.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tʃukula	0			tn
5569	Qeqchi	Mayan	AFTER	moqon	moqon	m o q o n	0.0			4 7 1 7 4	AXBYN	MUKUN	4	4.M.C 4.U.V 4.K.C 4.U.V 4.N.c	2.0 1.5 1.75 1.3 0.8	moqon	0			tn
7584	Otomi	Otomanguean	AFTER	‘mefa	‘mefa	ˀm e f a	0.0			4 7 3 7	AXBZ	MEBA	3	3.M.C 3.E.V 3.B.C 3.A.V	2.0 1.5 1.75 0.8	ˀmefa	0			tn
7585	Otomi	Otomanguean	AFTER	gem’bu	gem’bu	g e m ʔ b u	0.0			1 7 4 1 1 7	AXLMBZ	KEMHPY	3	3.K.C 3.E.V 3.M.c 3.H.c 3.P.C 3.Y.V	2.0 1.5 1.1 1.1 1.75 0.8	gemʔbu	0			tn
7586	Otomi	Otomanguean	AFTER	'be̲fa	'be̲fa	ˀb æ f a	0.0			1 7 3 7	AXBZ	PEBA	3	3.P.C 3.E.V 3.B.C 3.A.V	2.0 1.5 1.75 0.8	ˀbæfa	0			tn
9209	ImbaburaQuechua	Quechuan	AFTER	jipa	jipa	x i p a	0.0			3 7 1 7	AXBZ	GIPA	1	1.G.C 1.I.V 1.P.C 1.A.V	2.0 1.5 1.75 0.8	xipa	0			tn
10417	Wichi	Matacoan	AFTER	lapesey	lapesey	l a p e s e j	0.0			5 7 1 7 3 7 6	AXBYBYN	LAPESEJ	6	6.L.C 6.A.V 6.P.C 6.E.V 6.S.C 6.E.V 6.J.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	lapesej	0			tn
11688	Mapudungun	Araucanian	AFTER	fey wüla	fey_wüla	f e y + w ɨ l a	0.0			3 7 7 9 6 7 5 7	AXZ_AXBZ	BEY_WILA	2	2.B.C 2.E.V 2.Y.V 2._._ 2.W.C 2.I.V 2.L.C 2.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	fey+wɨla	0			tn
11689	Mapudungun	Araucanian	AFTER	depwe	depwe	θ e p w e	1.0	Spanish	después	3 7 1 6 7	AXBCZ	DEPWE	2	2.D.C 2.E.V 2.P.C 2.W.C 2.E.V	2.0 1.5 1.75 1.5 0.8	θepwe	0	Spanish	1109	tp
1309	Spanish	Indo-European	AFTERNOON	tarde	tarde	t a ɾ ð e				1 7 5 3 7	AXMBZ	TARDE	5	5.T.C 5.A.V 5.R.c 5.D.C 5.E.V	2.0 1.5 1.1 1.75 0.8	taɾðe	1			
2857	Yaqui	Uto-Aztecan	AFTERNOON	kupteo	kupteo	k u p t e o	0.0			1 7 1 1 7 7	AXMBYZ	KYPTEU	7	7.K.C 7.Y.V 7.P.c 7.T.C 7.E.V 7.U.V	2.0 1.5 1.1 1.75 1.3 0.8	kupteo	1			tn
4177	ZinacantanTzotzil	Mayan	AFTERNOON	shmal	shmal	ʃ m a l	0.0			3 4 7 5	ACXN	SMAL	8	8.S.C 8.M.C 8.A.V 8.L.c	2.0 1.5 1.5 0.8	ʃmal	0			tn
5807	Qeqchi	Mayan	AFTERNOON	ewu	ewu	e w u	0.0			7 6 7	XBZ	EWY	4	4.E.V 4.W.C 4.Y.V	1.5 1.75 0.8	ewu	1			tn
7840	Otomi	Otomanguean	AFTERNOON	nde	nde	n d e	0.0			4 1 7	ACZ	NTE	3	3.N.C 3.T.C 3.E.V	2.0 1.5 0.8	nde	0			tn
9341	ImbaburaQuechua	Quechuan	AFTERNOON	chishi	chishi	tʃ i ʃ i	0.0			1 7 3 7	AXBZ	TISI	1	1.T.C 1.I.V 1.S.C 1.I.V	2.0 1.5 1.75 0.8	tʃiʃi	0			tn
10554	Wichi	Matacoan	AFTERNOON	hunaj	hunaj	h u n a x	0.0			3 7 4 7 3	AXBYN	HYNAG	6	6.H.C 6.Y.V 6.N.C 6.A.V 6.G.c	2.0 1.5 1.75 1.3 0.8	hunax	1			tn
11833	Mapudungun	Araucanian	AFTERNOON	rupan antü	rupan_antü	ɻ u p a n + a n t ɨ	0.0			5 7 1 7 4 9 7 4 1 7	AXBYN_XMBZ	RYPAN_ANTI	2	2.R.C 2.Y.V 2.P.C 2.A.V 2.N.c 2._._ 2.A.V 2.N.c 2.T.C 2.I.V	2.0 1.5 1.75 1.3 0.8 0.0 1.5 1.1 1.75 0.8	ɻupan+antɨ	0			tn
1301	Spanish	Indo-European	AGAIN	otra vez	otra_vez	o t ɾ a + β e s				7 1 5 7 9 3 7 3	XBCZ_AXN	UTRA_BES	5	5.U.V 5.T.C 5.R.C 5.A.V 5._._ 5.B.C 5.E.V 5.S.c	1.5 1.75 1.5 0.8 0.0 2.0 1.5 0.8	otɾa+βes	0			
1302	Spanish	Indo-European	AGAIN	de nuevo	de_nuevo	d e + n w e β o				1 7 9 4 6 7 3 7	AX_ACXBZ	TE_NWEBU	5	5.T.C 5.E.V 5._._ 5.N.C 5.W.C 5.E.V 5.B.C 5.U.V	2.0 1.5 0.0 2.0 1.5 1.5 1.75 0.8	de+nweβo	0			
2849	Yaqui	Uto-Aztecan	AGAIN	intuchia	intuchia	i n t u tʃ i a	0.0			7 4 1 7 1 7 7	XMBYBYZ	INTYTIA	7	7.I.V 7.N.c 7.T.C 7.Y.V 7.T.C 7.I.V 7.A.V	1.5 1.1 1.75 1.3 1.75 1.3 0.8	intutʃia	0			tn
2850	Yaqui	Uto-Aztecan	AGAIN	juchia	juchia	j u tʃ i a	0.0			6 7 1 7 7	AXBYZ	JYTIA	7	7.J.C 7.Y.V 7.T.C 7.I.V 7.A.V	2.0 1.5 1.75 1.3 0.8	jutʃia	0			tn
