ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	SOURCE_LANGUAGE	SOURCE_VALUE	SOURCE_ID
11289	ImbaburaQuechua	ACCUSE	juchachina (1)	juchachina	x u tʃ a tʃ i n a				
12516	Wichi	ACCUSE	titsefwanaj	titsefwanaj	t i ts e fʷ a n a x				
13766	Mapudungun	ACCUSE	zallun	zallun	z a ʎ u n				
790	Portuguese	ACORN	bolota	bolota	b o l ɔ t ɐ				
2487	Spanish	ACORN	bellota	bellota	b e ʝ o t a				
5510	ZinacantanTzotzil	ACORN	chochob	chochob	tʃʰ o tʃʰ o b				
6929	Qeqchi	ACORN	ru ji	ru_ji	r u + x i				
8849	Otomi	ACORN	ro	ro	r o				
1639	Portuguese	ACQUIT	absolver	absolver	a b s ɔu v e ʁ				
3404	Spanish	ACQUIT	absolver	absolver	a β s o l β ɛ ɾ				
3405	Spanish	ACQUIT	exculpar	exculpar	ɛ k s k u l p a ɾ				
4848	Yaqui	ACQUIT	kulpata a u’ura	kulpata_a_u’ura	k u l p a t a + a + u ʔ u r a	Spanish			
7879	Qeqchi	ACQUIT	kuyuk maak	kuyuk_maak	k u j u k + m aː kʰ				
10102	Otomi	ACQUIT	puni	puni	p u n i				
11291	ImbaburaQuechua	ACQUIT	kishpichina	kishpichina	k i ʃ p i tʃ i n a				
12517	Wichi	ACQUIT	tip’alhtsen	tip’alhtsen	t i p ʔ a lˠ ts e n				
1626	Portuguese	ADJUDICATE	julgar	julgar	ʒ uu ɡ a ʁ				
3391	Spanish	ADJUDICATE	juzgar	juzgar	x u s ɣ a ɾ				
4835	Yaqui	ADJUDICATE	juskaroa	juskaroa	j u s k a r o a	Spanish			
7865	Qeqchi	ADJUDICATE	raqok aatin	raqok_aatin	r a q o k + aː t i n				
10085	Otomi	ADJUDICATE	o̲t'u̲ts'u̲t'u̲bi	o̲t'u̲ts'u̲t'u̲bi	ə t̪ʼ u tsʼ u t̪ʼ u b i				
1489	Portuguese	ADMIT	admitir	admitir	a dʒ i m i tʃ i ʁ				
1490	Portuguese	ADMIT	confessar	confessar	k õ f e s a ʁ				
3252	Spanish	ADMIT	admitir	admitir	a ð m i t i ɾ				
3253	Spanish	ADMIT	confesar	confesar	k o m f e s a ɾ				
3254	Spanish	ADMIT	reconocer	reconocer	r e k o n o s ɛ ɾ				
4739	Yaqui	ADMIT	konpesaroa	konpesaroa	k o n p e s a r o a	Spanish			
6044	ZinacantanTzotzil	ADMIT	hamal 7al	hamal_7al	h a m a l + ʔ a l				
7749	Qeqchi	ADMIT	xsumenkil	xsumenkil	ʃ s u m e n k i l				
9887	Otomi	ADMIT	hä (2)	hä	h ɐ				
9888	Otomi	ADMIT	hegi	hegi	h e g i				
9889	Otomi	ADMIT	japi ar kaso	japi_ar_kaso	x a p i + a r + k a s o	Spanish			
11209	ImbaburaQuechua	ADMIT	ari nina	ari_nina	a ɾ i + n i n a				
12427	Wichi	ADMIT	lhifwelh	lhifwelh	lˠ i fʷ e l̥				
734	Portuguese	ADOBE	adobe	adobe	a d ɔ b i				
2425	Spanish	ADOBE	adobe	adobe	a ð o β e				
4088	Yaqui	ADOBE	saami	saami	s aː m i				
5480	ZinacantanTzotzil	ADOBE	shamit	shamit	ʃ a m i tʰ	Nahuatl			
6878	Qeqchi	ADOBE	xan	xan	ʃ a n				
6879	Qeqchi	ADOBE	q'ut	q'ut	qʼ u tʰ				
8781	Otomi	ADOBE	ñäha̲i	ñäha̲i	ɲ ɐ h ɔ i				
10671	ImbaburaQuechua	ADOBE	adubi	adubi	a d u b i	Spanish			
11865	Wichi	ADOBE	alulis	alulis	a l u l i s	Spanish			
13136	Mapudungun	ADOBE	fazofe	fazofe	f a z o f e	Spanish			
1647	Portuguese	ADULTERY	adultério	adultério	a d uu t ɛ ɾ j u				
3413	Spanish	ADULTERY	adulterio	adulterio	a ð u l t ɛ ɾ j o				
4856	Yaqui	ADULTERY	baita’a	baita’a	b a i t a ʔ a				
7887	Qeqchi	ADULTERY	muxuk sumlajik	muxuk_sumlajik	m u ʃ u k + s u m l a x i kʰ				
7888	Qeqchi	ADULTERY	muxuk	muxuk	m u ʃ u kʰ				
10112	Otomi	ADULTERY	nthekunthäti	nthekunthäti	n θ e k u n θ ɐ t̪ i				
839	Portuguese	ADZE	enxó	enxó	ẽ ʃ ɔ				
2544	Spanish	ADZE	azuela	azuela	a s w e l a				
10742	ImbaburaQuechua	ADZE	aswila	aswila	a s w i l a	Spanish	Spanish	a s w e l a	2544
1066	Portuguese	AFTER	depois	depois	d e p oi ʃ				
2792	Spanish	AFTER	después	después	d ɛ s p w e s				
4364	Yaqui	AFTER	chukula	chukula	tʃ u k u l a				
7252	Qeqchi	AFTER	moqon	moqon	m o q o n				
9267	Otomi	AFTER	‘mefa	‘mefa	ˀm e f a				
9268	Otomi	AFTER	gem’bu	gem’bu	g e m ʔ b u				
9269	Otomi	AFTER	'be̲fa	'be̲fa	ˀb æ f a				
10892	ImbaburaQuechua	AFTER	jipa	jipa	x i p a				
12100	Wichi	AFTER	lapesey	lapesey	l a p e s e j				
13371	Mapudungun	AFTER	fey wüla	fey_wüla	f e y + w ɨ l a				
13372	Mapudungun	AFTER	depwe	depwe	θ e p w e	Spanish			
1253	Portuguese	AFTERNOON	tarde	tarde	t a ʁ dʒ i				
2992	Spanish	AFTERNOON	tarde	tarde	t a ɾ ð e				
4540	Yaqui	AFTERNOON	kupteo	kupteo	k u p t e o				
5860	ZinacantanTzotzil	AFTERNOON	shmal	shmal	ʃ m a l				
7490	Qeqchi	AFTERNOON	ewu	ewu	e w u				
9523	Otomi	AFTERNOON	nde	nde	n d e				
11024	ImbaburaQuechua	AFTERNOON	chishi	chishi	tʃ i ʃ i				
12237	Wichi	AFTERNOON	hunaj	hunaj	h u n a x				
13516	Mapudungun	AFTERNOON	rupan antü	rupan_antü	ɻ u p a n + a n t ɨ				
1245	Portuguese	AGAIN	outra vez	outra_vez	o t ɾ ɐ + v e ʃ				
1246	Portuguese	AGAIN	de novo	de_novo	dʒ i + n ɔ v u				
2984	Spanish	AGAIN	otra vez	otra_vez	o t ɾ a + β e s				
2985	Spanish	AGAIN	de nuevo	de_nuevo	d e + n w e β o				
4532	Yaqui	AGAIN	intuchia	intuchia	i n t u tʃ i a				
4533	Yaqui	AGAIN	juchia	juchia	j u tʃ i a				
5854	ZinacantanTzotzil	AGAIN	noshtok	noshtok	n o ʃ t o k				
7485	Qeqchi	AGAIN	wi' chik	wi'_chik	w i ʔ + tʃ i kʰ				
9516	Otomi	AGAIN	ma n’agi	ma_n’agi	m a + n ʔ a g i				
11020	ImbaburaQuechua	AGAIN	kutin	kutin	k u t i ŋ				
12232	Wichi	AGAIN	yip	yip	y i p				
13511	Mapudungun	AGAIN	ka wiño	ka_wiño	k a + w i ɲ o				
1213	Portuguese	AGE	idade	idade	i d a dʒ i				
2945	Spanish	AGE	edad	edad	e ð a ð				
4498	Yaqui	AGE	wasuktia	wasuktia	w a s u k t i a				
5829	ZinacantanTzotzil	AGE	ch’iel	ch’iel	tʃʼ i e l				
7443	Qeqchi	AGE	xchi hab’	xchi_hab’	ʃ tʃ i + h a ɓ				
9469	Otomi	AGE	je̲ya	je̲ya	x æ j a				
12213	Wichi	AGE	nekchom	nekchom	n e k tʃ o m				
12214	Wichi	AGE	anio	anio	a n i o	Spanish			
13487	Mapudungun	AGE	tripantu	tripantu	ʈʂ i p a n t u				
76	Portuguese	AIR	ar	ar	a ʁ				
1757	Spanish	AIR	aire	aire	a i ɾ e				
3507	Yaqui	AIR	jeeka	jeeka	j eː k a				
4944	ZinacantanTzotzil	AIR	7ik’	7ik’	ʔ i kʼ				
6210	Qeqchi	AIR	iq’	iq’	i qʼ				
7993	Otomi	AIR	ndähi	ndähi	n d ɐ h i				
10209	ImbaburaQuechua	AIR	samay	samay	s a m a j				
11367	Wichi	AIR	layalh	layalh	l a j a l̥	Pilagá			
12606	Mapudungun	AIR	kürüf	kürüf	k ɨ ɻ ɨ f				
601	Portuguese	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e b i d ɐ + f e ʁ m ẽ t a d ɐ				
2293	Spanish	ALCOHOL (FERMENTED DRINK)	bebida fermentada	bebida_fermentada	b e β i ð a + f ɛ ɾ m e n t a ð a				
3974	Yaqui	ALCOHOL (FERMENTED DRINK)	ba’ajipo’okoim	ba’ajipo’okoim	b a ʔ a j i p o ʔ o k o i m				
6757	Qeqchi	ALCOHOL (FERMENTED DRINK)	b’oj	b’oj	ɓ o x				
6758	Qeqchi	ALCOHOL (FERMENTED DRINK)	ani (2)	ani	a n i				
8622	Otomi	ALCOHOL (FERMENTED DRINK)	sei	sei	s e i				
10590	ImbaburaQuechua	ALCOHOL (FERMENTED DRINK)	asua	asua	a s u a				
11774	Wichi	ALCOHOL (FERMENTED DRINK)	hat’es	hat’es	h a t ʔ e s				
1186	Portuguese	ALL	cada	cada	k a d ɐ				
1187	Portuguese	ALL	tudo	tudo	t u d u				
2919	Spanish	ALL	cada	cada	k a ð a				
2920	Spanish	ALL	todo	todo	t o ð o				
4477	Yaqui	ALL	si’ime (2)	si’ime	s i ʔ i m e				
5813	ZinacantanTzotzil	ALL	kotol	kotol	k o t o l				
5814	ZinacantanTzotzil	ALL	labal	labal	l a ɓ a l				
7400	Qeqchi	ALL	chi junil	chi_junil	tʃ i + x u n i l				
7401	Qeqchi	ALL	anchal	anchal	a n tʃ a l				
7402	Qeqchi	ALL	rek’	rek’	r e kʼ				
9426	Otomi	ALL	ga̲tho	ga̲tho	g ɔ θ o				
9427	Otomi	ALL	kadu̲	kadu̲	k a d u	Spanish			
9428	Otomi	ALL	ta̲t’i	ta̲t’i	t̪ ɔ t̪ʼ i				
10979	ImbaburaQuechua	ALL	tukuy	tukuy	t u k u j				
12196	Wichi	ALL	nufwu	nufwu	n u fʷ u				
13464	Mapudungun	ALL	kom	kom	k o m				
1545	Portuguese	ALLOW OR PERMIT	deixar	deixar	d ei ʃ a ʁ				
1546	Portuguese	ALLOW OR PERMIT	permitir	permitir	p e ʁ m i tʃ i ʁ				
3312	Spanish	ALLOW OR PERMIT	permitir	permitir	p ɛ ɾ m i t i ɾ				
3313	Spanish	ALLOW OR PERMIT	dejar	dejar	d e x a ɾ				
1658	Portuguese	ALTAR	altar	altar	au t a ʁ				
3423	Spanish	ALTAR	altar	altar	a l t a ɾ				
4865	Yaqui	ALTAR	altaar	altaar	a l t aː r	Spanish			
6128	ZinacantanTzotzil	ALTAR	7altal	7altal	ʔ a l t a l	Spanish			
7898	Qeqchi	ALTAR	artal	artal	a ɾ t a l	Spanish			
10125	Otomi	ALTAR	ntsaya jwä	ntsaya_jwä	n ts a j a + xʷ ɐ				
10126	Otomi	ALTAR	tsita	tsita	ts i t̪ a				
10127	Otomi	ALTAR	ata	ata	a t̪ a	Spanish			
11305	ImbaburaQuechua	ALTAR	altar	altar	a l t a ɾ	Spanish	Spanish	a l t a ɾ	3423
12526	Wichi	ALTAR	altal	altal	a l t a l	Spanish			
1238	Portuguese	ALWAYS	sempre	sempre	s ẽ p ɾ i				
2976	Spanish	ALWAYS	siempre	siempre	s j e m p ɾ e				
4522	Yaqui	ALWAYS	jiba	jiba	j i b a				
4523	Yaqui	ALWAYS	chikti	chikti	tʃ i k t i				
5848	ZinacantanTzotzil	ALWAYS	sempre	sempre	s e m p ɾ e	Spanish	Spanish	s j e m p ɾ e	2976
7479	Qeqchi	ALWAYS	junelik	junelik	x u n e l i kʰ				
9506	Otomi	ALWAYS	zäntho	zäntho	z ɐ n θ o				
9507	Otomi	ALWAYS	(n)zäm'bu̲	(n)zäm'bu̲	n z ɐ m ˀb u				
11014	ImbaburaQuechua	ALWAYS	simpri	simpri	s i m b ɾ i	Spanish			
13504	Mapudungun	ALWAYS	rumel	rumel	ɻ u m e l				
1605	Portuguese	AMBUSH	emboscada	emboscada	ẽ b o ʃ k a d ɐ				
3372	Spanish	AMBUSH	acechar	acechar	a s e tʃ a ɾ				
3373	Spanish	AMBUSH	emboscar	emboscar	e m b o s k a ɾ				
4820	Yaqui	AMBUSH	bo’o yejteria	bo’o_yejteria	b o ʔ o + j e j t e r i a				
10052	Otomi	AMBUSH	nt’ä	nt’ä	n t̪ʼ ɐ				
10053	Otomi	AMBUSH	nu (3)	nu	n u				
13754	Mapudungun	AMBUSH	lloftun	lloftun	ʎ o f t u n				
159	Portuguese	ANCESTORS	antepassados	antepassados	ɐ̃ t e p a s a d u ʃ				
160	Portuguese	ANCESTORS	ancestrais	ancestrais	ɐ̃ s e ʃ t ɾ ai ʃ				
1839	Spanish	ANCESTORS	antepasados	antepasados	a n t e p a s a ð o s				
3594	Yaqui	ANCESTORS	yo’owe ~ yoowe	yo’owe	j o ʔ o w e				
5013	ZinacantanTzotzil	ANCESTORS	7antivo	7antivo	ʔ a n t i v o	Spanish			
6295	Qeqchi	ANCESTORS	xe’toon	xe’toon	ʃ e ʔ t oː n				
8090	Otomi	ANCESTORS	mbo̲xita	mbo̲xita	m b ə x i t̪ a				
10273	ImbaburaQuechua	ANCESTORS	ñaupa runakuna	ñaupa_runakuna	ɲ a u p a + ɾ u n a k u n a				
11426	Wichi	ANCESTORS	pajchehen	pajchehen	p a x tʃ e h e n				
12709	Mapudungun	ANCESTORS	kwifike che yem	kwifike_che_yem	k w i f i k e + tʃ e + y e m				
1006	Portuguese	ANCHOR	âncora	âncora	ɐ̃ k u ɾ ɐ				
2723	Spanish	ANCHOR	ancla	ancla	a n k l a				
4315	Yaqui	ANCHOR	amklam	amklam	a m k l a m	Spanish			
12053	Wichi	ANCHOR	walku katmek	walku_katmek	w a l k u + k a t m e k	Spanish			
1452	Portuguese	AND	e	e	i		Spanish	i	3210
3210	Spanish	AND	y	y	i				
4703	Yaqui	AND	into	into	i n t o				
6008	ZinacantanTzotzil	AND	7i	7i	ʔ i	Spanish			
7707	Qeqchi	AND	ut	ut	u tʰ				
9812	Otomi	AND	ne (3)	ne	n e				
11175	ImbaburaQuechua	AND	-pash	-pash	p a ʃ				
12393	Wichi	AND	wet	wet	w e t				
13662	Mapudungun	AND	ka	ka	k a				
1373	Portuguese	ANGER	raiva	raiva	ʁ ai v ɐ				
1374	Portuguese	ANGER	ira	ira	i ɾ ɐ				
3114	Spanish	ANGER	enojo	enojo	e n o x o				
3115	Spanish	ANGER	ira	ira	i ɾ a				
3116	Spanish	ANGER	rabia	rabia	r a β j a				
4635	Yaqui	ANGER	omtia	omtia	o m t i a				
5948	ZinacantanTzotzil	ANGER	k’ak’al	k’ak’al	kʼ a kʼ a l				
7621	Qeqchi	ANGER	waxerk	waxerk	w a ʃ e ɾ kʰ				
7622	Qeqchi	ANGER	josq'il	josq'il	x o s qʼ i l				
7623	Qeqchi	ANGER	po'jik	po'jik	p o ʔ x i kʰ				
9681	Otomi	ANGER	(mbo̲)kwe̲	(mbo̲)kwe̲	m b ə kʷ æ				
11115	ImbaburaQuechua	ANGER	fiña (1)	fiña	ɸ i ɲ a				
12331	Wichi	ANGER	tawokwoylhi	tawokwoylhi	t a w o kʷ o j lˠ i				
13600	Mapudungun	ANGER	illkun	illkun	i ʎ k u n				
193	Portuguese	ANIMAL	animal	animal	ɐ n i m au				
194	Portuguese	ANIMAL	bicho	bicho	b i ʃ u				
1877	Spanish	ANIMAL	animal	animal	a n i m a l				
3621	Yaqui	ANIMAL	animaal	animaal	a n i m aː l	Spanish	Spanish	a n i m a l	1877
5033	ZinacantanTzotzil	ANIMAL	7animal	7animal	ʔ a n i m a l	Spanish	Spanish	a n i m a l	1877
5034	ZinacantanTzotzil	ANIMAL	chanulil	chanulil	tʃʰ a n u l i l				
5035	ZinacantanTzotzil	ANIMAL	chon	chon	tʃʰ o n				
6327	Qeqchi	ANIMAL	xul	xul	ʃ u l				
8160	Otomi	ANIMAL	zu'we	zu'we	z u ˀw e				
10298	ImbaburaQuechua	ANIMAL	animal	animal	a n i m a l	Spanish	Spanish	a n i m a l	1877
11450	Wichi	ANIMAL	tshowet	tshowet	tsʰ o w e t				
12740	Mapudungun	ANIMAL	kulliñ	kulliñ	k u ʎ i ɲ				
383	Portuguese	ANKLE	tornozelo	tornozelo	t o ʁ n o z ɛ l u				
2080	Spanish	ANKLE	tobillo	tobillo	t o β i ʝ o				
3790	Yaqui	ANKLE	tero’okim	tero’okim	t e r o ʔ o k i m				
5208	ZinacantanTzotzil	ANKLE	nuk’ 7okol	nuk’_7okol	n u kʼ + ʔ o k o l				
6526	Qeqchi	ANKLE	kux oq	kux_oq	k u ʃ + o qʰ				
6527	Qeqchi	ANKLE	xmap oq	xmap_oq	ʃ m a p + o qʰ				
8381	Otomi	ANKLE	bots'undo'yo wa	bots'undo'yo_wa	b o tsʼ u n d o ˀj o + w a				
10441	ImbaburaQuechua	ANKLE	chaki muku	chaki_muku	tʃ a k i + m u k u				
11622	Wichi	ANKLE	tokasup’a	tokasup’a	t o k a s u p ʔ a				
12894	Mapudungun	ANKLE	pallipalli	pallipalli	p a ʎ i p a ʎ i				
1500	Portuguese	ANNOUNCE	anunciar	anunciar	ɐ n ũ s i a ʁ				
3263	Spanish	ANNOUNCE	anunciar	anunciar	a n u n s j a ɾ				
3264	Spanish	ANNOUNCE	avisar	avisar	a β i s a ɾ				
4749	Yaqui	ANNOUNCE	anunsiaroa	anunsiaroa	a n u n s i a r o a	Spanish			
4750	Yaqui	ANNOUNCE	tejwa	tejwa	t e j w a				
6056	ZinacantanTzotzil	ANNOUNCE	7al	7al	ʔ a l				
7757	Qeqchi	ANNOUNCE	esilank	esilank	e s i l a n kʰ				
9906	Otomi	ANNOUNCE	no̲ni	no̲ni	n ə n i				
9907	Otomi	ANNOUNCE	bembi	bembi	b e m b i				
11218	ImbaburaQuechua	ANNOUNCE	billana	billana	b i ʒ a n a				
12438	Wichi	ANNOUNCE	ifwelhlhi	ifwelhlhi	i fʷ e l̥ + l̥ i				
13705	Mapudungun	ANNOUNCE	wülzungun	wülzungun	w ɨ l z u ŋ u n				
1488	Portuguese	ANSWER	responder	responder	ʁ e ʃ p õ d e ʁ				
3250	Spanish	ANSWER	contestar	contestar	k o n t ɛ s t a ɾ				
3251	Spanish	ANSWER	responder	responder	r ɛ s p o n d ɛ ɾ				
4738	Yaqui	ANSWER	yoopna	yoopna	j oː p n a				
6043	ZinacantanTzotzil	ANSWER	tak’	tak’	t a kʼ				
7747	Qeqchi	ANSWER	chaq'b'enk	chaq'b'enk	tʃ a qʼ ɓ e n kʰ				
7748	Qeqchi	ANSWER	sumenk	sumenk	s u m e n kʰ				
9884	Otomi	ANSWER	thädi	thädi	θ ɐ d i				
9885	Otomi	ANSWER	thäti	thäti	θ ɐ t̪ i				
9886	Otomi	ANSWER	kots'i	kots'i	k o tsʼ i				
11208	ImbaburaQuechua	ANSWER	kutichina	kutichina	k u t i tʃ i n a				
12426	Wichi	ANSWER	nichelhu	nichelhu	n i tʃ e lˠ u				
13697	Mapudungun	ANSWER	wiñolzungun	wiñolzungun	w i ɲ o l z u ŋ u n				
285	Portuguese	ANT	formiga	formiga	f o ʁ m i ɡ ɐ				
1980	Spanish	ANT	hormiga	hormiga	o ɾ m i ɣ a				
3696	Yaqui	ANT	eeye	eeye	eː j e				
5105	ZinacantanTzotzil	ANT	shinich	shinich	ʃ i n i tʃʰ				
6414	Qeqchi	ANT	sank	sank	s a n kʰ				
8277	Otomi	ANT	xäju̲	xäju̲	x ɐ x u				
10359	ImbaburaQuechua	ANT	añanku	añanku	a ɲ a ŋ g u				
11524	Wichi	ANT	siwanhas	siwanhas	s i w a n̥ a s				
12807	Mapudungun	ANT	kollella	kollella	k o ʎ e ʎ a				
876	Portuguese	ANVIL	bigorna	bigorna	b i ɡ ɔ ʁ n ɐ				
2586	Spanish	ANVIL	yunque	yunque	ɟ ʝ u n k e				
9009	Otomi	ANVIL	nt'u̲xu̲bo̲jä	nt'u̲xu̲bo̲jä	n t̪ʼ u x u b ə x ɐ				
1364	Portuguese	ANXIETY	ansiedade	ansiedade	ɐ̃ s i e d a dʒ i				
1365	Portuguese	ANXIETY	preocupação	preocupação	p ɾ i o k u p a s ɐ̃ũ				
3103	Spanish	ANXIETY	ansiedad	ansiedad	a n s j e ð a ð				
3104	Spanish	ANXIETY	angustia	angustia	a n g u s t j a				
3105	Spanish	ANXIETY	preocupación	preocupación	p ɾ e o k u p a s j o n				
4627	Yaqui	ANXIETY	jiokot ea	jiokot_ea	j i o k o t + e a				
5943	ZinacantanTzotzil	ANXIETY	k’op 7o7on	k’op_7o7on	kʼ o p + ʔ o ʔ o n				
7612	Qeqchi	ANXIETY	yot'ik	yot'ik	j o tʼ i kʰ				
9673	Otomi	ANXIETY	dumu̲i	dumu̲i	d u m u i				
11108	ImbaburaQuechua	ANXIETY	llaki	llaki	ʒ a k i				
12323	Wichi	ANXIETY	nitichunlhi	nitichunlhi	n i t i tʃ u n lˠ i				
13593	Mapudungun	ANXIETY	weñangkün	weñangkün	w e ɲ a ŋ k ɨ n				
968	Portuguese	APPROACH	aproximar	aproximar	a p ɾ o s i m a ʁ				
2684	Spanish	APPROACH	acercarse	acercarse	a s ɛ ɾ k a ɾ s e				
2685	Spanish	APPROACH	aproximarse	aproximarse	a p ɾ o k s i m a ɾ s e				
4279	Yaqui	APPROACH	rukte	rukte	r u k t e				
4280	Yaqui	APPROACH	rukta	rukta	r u k t a				
5652	ZinacantanTzotzil	APPROACH	nopoj	nopoj	n o p o ħ				
7142	Qeqchi	APPROACH	haye'k	haye'k	h a j e ʔ kʰ				
7143	Qeqchi	APPROACH	nach'o'k	nach'o'k	n a tʃʼ o ʔ kʰ				
7144	Qeqchi	APPROACH	jeqonk	jeqonk	x e q o n kʰ				
7145	Qeqchi	APPROACH	jiqe'k	jiqe'k	x i q e ʔ kʰ				
7146	Qeqchi	APPROACH	jilonk	jilonk	x i l o n kʰ				
9142	Otomi	APPROACH	kwat'i	kwat'i	kʷ a t̪ʼ i				
10828	ImbaburaQuechua	APPROACH	kayllayana	kayllayana	k a j ʒ a j a n a				
12025	Wichi	APPROACH	yomwhoye	yomwhoye	y o m w̥ o j e				
13305	Mapudungun	APPROACH	fülkonün	fülkonün	f ɨ l k o n ɨ n				
13306	Mapudungun	APPROACH	püllekonün	püllekonün	p ɨ ʎ e k o n ɨ n				
730	Portuguese	ARCH	arco	arco	a ʁ k u				
2420	Spanish	ARCH	arco	arco	a ɾ k o				
4084	Yaqui	ARCH	arko	arko	a r k o	Spanish			
5477	ZinacantanTzotzil	ARCH	7alku7	7alku7	ʔ a l k u ʔ	Spanish			
6875	Qeqchi	ARCH	arko	arko	a ɾ k o	Spanish	Spanish	a ɾ k o	2420
8773	Otomi	ARCH	nsä'mi	nsä'mi	ⁿs ɐ ˀm i				
8774	Otomi	ARCH	arko	arko	a r k o	Spanish			
10668	ImbaburaQuechua	ARCH	arku	arku	a ɾ k u	Spanish			
367	Portuguese	ARM	braço	braço	b ɾ a s u				
2063	Spanish	ARM	brazo	brazo	b ɾ a s o				
3774	Yaqui	ARM	mamam	mamam	m a m a m				
5188	ZinacantanTzotzil	ARM	k’obol	k’obol	kʼ o ɓ o l				
6510	Qeqchi	ARM	tel	tel	t e l				
8364	Otomi	ARM	'ye̲	'ye̲	ˀj æ				
10427	ImbaburaQuechua	ARM	rigra	rigra	ʐ i g ɾ a				
11607	Wichi	ARM	totkwey	totkwey	t o t kʷ e j				
12879	Mapudungun	ARM	lipang	lipang	l i p a ŋ				
1587	Portuguese	ARMOUR	armadura	armadura	a ʁ m a d u ɾ ɐ				
3353	Spanish	ARMOUR	armadura	armadura	a ɾ m a ð u ɾ a				
7829	Qeqchi	ARMOUR	ch’iich’	ch’iich’	tʃʼ iː tʃʼ				
10020	Otomi	ARMOUR	nt'u̲t'i	nt'u̲t'i	n t̪ʼ u t̪ʼ i				
10021	Otomi	ARMOUR	nthoki	nthoki	n θ o k i				
10022	Otomi	ARMOUR	nxo̲ge	nxo̲ge	n x ə g e				
11265	ImbaburaQuechua	ARMOUR	armadura	armadura	a ɾ m a d u ɾ a	Spanish	Spanish	a ɾ m a ð u ɾ a	3353
12494	Wichi	ARMOUR	lakatshayajput	lakatshayajput	l a k a tsʰ a j a x p u t				
368	Portuguese	ARMPIT	axila	axila	a k s i l ɐ		Spanish	a k s i l a	2065
369	Portuguese	ARMPIT	sovaco	sovaco	s o v a k u				
2064	Spanish	ARMPIT	sobaco	sobaco	s o β a k o				
2065	Spanish	ARMPIT	axila	axila	a k s i l a				
3775	Yaqui	ARMPIT	seekam	seekam	s eː k a m				
5189	ZinacantanTzotzil	ARMPIT	lotz’opil	lotz’opil	l o tsʼ o p i l				
6511	Qeqchi	ARMPIT	sa’ tel	sa’_tel	s a ʔ + t e l				
8365	Otomi	ARMPIT	kaxjo	kaxjo	k a x x o				
10428	ImbaburaQuechua	ARMPIT	subaku	subaku	s u b a k u	Spanish			
11608	Wichi	ARMPIT	towilisch’u	towilisch’u	t o w i l i s tʃ ʔ u				
12880	Mapudungun	ARMPIT	puñpuya	puñpuya	p u ɲ p u y a				
1571	Portuguese	ARMY	exército	exército	i z ɛ ʁ s i t u				
3339	Spanish	ARMY	ejército	ejército	e x ɛ ɾ s i t o				
3340	Spanish	ARMY	tropas	tropas	t ɾ o p a s				
4801	Yaqui	ARMY	troopa	troopa	t r oː p a	Spanish			
7815	Qeqchi	ARMY	soldaa, sola	soldaa	s o l d aː	Spanish			
10003	Otomi	ARMY	ejersito	ejersito	e x e r s i t̪ o	Spanish			
10004	Otomi	ARMY	tropa	tropa	t̪ r o p a	Spanish			
10005	Otomi	ARMY	hmunts'u̲sundado	hmunts'u̲sundado	h m u n tsʼ u s u n d a d o	Spanish			
